,trdar_cd_nm,tmzon_1_flpop_co,tmzon_2_flpop_co,tmzon_3_flpop_co,tmzon_4_flpop_co,tmzon_5_flpop_co,tmzon_6_flpop_co,lat,lng
915,사평대로22길,71527,127470,140095,126713,155606,78311,37.4969808,126.997583
701,중앙로15길,111386,149897,133509,129298,152065,80231,35.9390977,126.9581175
293,면목로48길,367990,276462,252340,273967,420734,260280,37.5820467,127.0909963
507,광성로6길,259162,313845,314306,306117,375221,192757,35.8951979,128.6353587
970,삼성로64길,140012,235345,310587,335529,470364,211549,37.5005743,127.0626515
248,장한로27가길,219015,226113,222022,222657,311409,167788,37.5757727,127.0705885
719,벚꽃로56길,70445,102801,107647,100212,135635,64219,37.4838184,126.8837296
910,반포대로9길,90084,183722,220104,198740,209704,79485,37.4828629,127.0082883
329,삼선교로16가길,274966,291569,258572,263131,306880,175554,37.5838984,127.0121986
49,백제고분로32길,151896,153075,117205,113954,148681,95791,37.5008533,127.0949799
459,연서로41길,270768,217761,150607,149656,201008,129721,37.626915,126.9252616
142,마장로27길,294732,279938,230562,216811,289895,162475,37.5668143,127.0344512
382,삼양로54길,269247,223891,218618,229408,312288,162299,37.6232157,127.0216414
250,장한로5길,286349,284291,304960,303791,387091,205637,37.5650384,127.0643419
807,상도로37길,288856,268132,198477,193613,281521,183724,37.5003784,126.9508288
133,한남대로20길,111019,174093,193800,186028,232879,118161,37.5352427,127.0098141
104,대사관로34길,192197,236189,227244,216299,286851,163643,37.5313098,127.0058312
6,강동대로53길,126638,189598,223306,212895,276993,128599,37.525568,127.1317124
921,서초대로4길,387740,461073,518052,535231,763651,397426,37.4833484,126.9861902
509,대흥로28길,314181,399550,348780,334728,375298,196615,37.5553167,126.9470852
977,선릉로18길,10287,38929,40575,36687,24522,7811,37.484327,127.0615513
573,목동중앙로13나길,21418,28664,24066,23232,26720,15425,37.5450027,126.8801941
434,석계로1길,232632,215530,198374,210955,319878,196537,37.6155995,127.0617809
27,올림픽로71길,211119,261331,317653,362663,417961,154904,37.5410753,127.1221724
993,백제고분로22길,157671,159601,129649,129696,172202,103959,37.5009677,127.0882233
119,이태원로27길,505123,230063,255223,303601,533387,389501,37.5351953,126.9957598
108,서빙고로71길,38569,56284,48318,44426,51172,25193,37.5230395,126.9955175
766,신길로42길,259205,277406,205903,203974,236260,146482,37.5059617,126.9150091
833,관천로15길,232543,214300,149642,148574,191156,129677,37.4861477,126.9183377
842,난우길,180345,196758,172487,178455,230041,127987,37.4732169,126.9189225
920,서초대로25길,185006,277900,302140,283053,331359,156650,37.4903263,126.9928572
726,시흥대로36길,22438,40178,39262,36465,37352,16599,37.4436688,126.9046485
976,선릉로146길,147375,235475,321998,311337,335795,153945,37.5218007,127.0420605
780,영등포로84길,375820,403697,318354,306385,392669,241125,37.5127629,126.9221459
274,공릉로12가길,174632,147037,121104,122517,169425,105822,37.617319,127.0814352
200,아차산로40길,419249,413044,361307,363973,496096,287356,37.5363925,127.0777096
78,난계로21길,224413,231135,236327,258768,267930,136063,37.5700206,127.0226709
584,신월로20길,116171,157614,150494,143355,170666,88014,37.5180279,126.8456441
262,천호대로97길,121688,116655,125872,127556,132278,65319,37.5627447,127.071175
622,곰달래로60길,190038,181378,166831,181634,266586,158707,37.5314378,126.8631111
543,와우산로29가길,208173,197512,311268,432168,651129,282891,37.5543172,126.9285469
156,성덕정길,91820,125804,112017,110527,124478,65413,37.5379284,127.0521729
90,장충단로8길,172480,225811,254234,233336,277963,132295,37.5621356,127.0088954
101,녹사평대로32길,344643,121350,138835,174341,367615,286870,37.5330399,126.9905889
94,퇴계로18길,33067,111629,184232,177814,184971,53708,37.5605087,126.9855415
801,사당로26길,269066,282322,298438,307681,476606,244996,37.4806881,126.9780561
909,바우뫼로39길,96351,194814,269990,230402,292692,123087,37.4818486,127.0397202
41,송파대로30길,278900,311761,363339,315304,431066,245343,37.4951276,127.1196398
710,독산로40길,106203,108550,90346,92417,116376,67812,37.4599807,126.9056175
866,신림로28길,482637,452095,381370,390151,563817,344593,37.4719576,126.9358746
436,한글비석로24길,373435,344191,288514,308875,436056,261487,37.6638444,127.0742607
34,진황도로27길,573516,523526,425076,429519,603960,385844,37.5401861,127.1324059
175,한림말길,187984,192721,142758,142601,206171,126372,37.54072,127.0141055
35,천중로51길,426786,422181,376262,395170,564796,335416,37.5419989,127.1451369
148,무학로6길,424001,350640,301607,293405,416847,236380,37.5650946,127.0330292
776,영등포로27길,179804,228249,235679,224118,250944,129250,37.522374,126.8992923
602,가로공원로80길,208265,201383,155464,158063,209452,127103,37.5351937,126.8399443
