,trdar_cd_nm,tot_flpop_co,ml_flpop_co,fml_flpop_co,agrde_10_flpop_co,agrde_20_flpop_co,agrde_30_flpop_co,agrde_40_flpop_co,agrde_50_flpop_co,agrde_60_above_flpop_co,lat,lng
965,봉은사로68길,1498128,836281,661846,38593,346854,454385,326423,191188,140687,37.5114397,127.0498945
115,원효로41길,733107,415043,318070,27109,141370,164639,150716,130601,118668,37.5352214,126.9600235
457,연서로34길,1326989,657577,669414,91681,219979,235868,223795,259253,296417,37.62143,126.92899
546,월드컵로10길,2081856,984654,1097208,85537,654545,550531,375470,237526,178235,37.555019,126.9133425
422,삼양로144길,491828,209932,281902,30296,152932,68849,75643,83227,80884,37.6515724,127.0140357
397,한천로124나길,1858926,936764,922165,85594,474495,332133,313913,352046,300742,37.6381548,127.0313509
924,신반포로45길,1971440,1090331,881110,73835,547124,527654,373008,253099,196722,37.5132428,127.0160037
612,강서로5가길,3927997,2035393,1892606,201419,983153,881524,653139,634564,574201,37.5284799,126.8451109
810,상도로62길,2098756,1066786,1031970,211524,809297,309504,251916,251128,265388,37.4963342,126.9530105
210,자양로45길,1588233,779389,808841,105140,331382,303355,269689,305202,273466,37.5528323,127.0919754
677,구로동로38길,1411813,741022,670794,31089,257284,277767,267303,313117,265261,37.4948836,126.8844065
800,사당로23나길,748583,361493,387093,48664,138677,158486,128934,120876,152948,37.4879374,126.9783083
139,금호산길,2032982,979582,1053409,149094,344089,447950,357075,349028,385758,37.5518448,127.0193979
633,등촌로13길,1006757,497607,509151,105750,186905,200889,177708,177007,158511,37.5379589,126.8584522
768,양평로19길,1069720,583126,486597,52257,271863,276481,198435,163125,107561,37.5360801,126.8943558
293,면목로48길,1851771,987459,864319,119578,446032,331354,293854,352414,308554,37.5820467,127.0909963
441,갈현로41길,1034498,512085,522426,85180,245685,178091,153572,181671,190317,37.6242617,126.9157255
188,능동로34길,1829301,928147,901154,80105,519946,406821,275997,307316,239111,37.5540724,127.0837004
981,영동대로65길,1887959,1040456,847497,495260,303450,298189,390136,245173,155757,37.5018551,127.063502
49,백제고분로32길,780604,407096,373506,24224,184238,195915,140173,126058,110002,37.5008533,127.0949799
832,관악로30길,887973,438174,449796,62345,197409,179217,145135,137796,166068,37.488493,126.9616984
829,관악로10길,2333452,1218062,1115396,134286,1054208,435918,263438,250270,195347,37.4766954,126.9548079
1008,천호옛길,3070192,1485625,1584578,156547,660927,610258,521454,577013,544009,37.53407,127.1237455
222,답십리로60길,1076344,577721,498628,39186,195536,231632,207119,220353,182523,37.5702606,127.0637463
350,종암로19길,1033088,500577,532508,93077,248663,157286,171514,179555,182994,37.5974899,127.0322471
894,강남대로34길,1781615,983563,798044,39280,401125,438328,334320,279199,289365,37.483626,127.0373179
772,여의대방로39길,647456,348218,299234,65025,130580,118094,119240,118690,95825,37.5031853,126.9209364
594,중앙로45길,1027828,541321,486512,53887,176506,189039,186944,224451,197010,37.520615,126.8517341
388,솔샘로65길,1601197,731817,869379,87772,285422,283228,269934,354771,320077,37.6220625,127.0257337
489,세검정로1길,1856030,906637,949400,138860,358624,293695,325310,369855,369680,37.5927242,126.9434915
704,가산로5길,1115489,651742,463748,10045,302913,282365,187071,200625,132467,37.4738477,126.8946154
905,동산로10길,673472,388355,285117,18969,142355,182951,137216,108955,83031,37.4703375,127.0461059
24,양재대로95길,2425889,1255827,1170065,174569,461704,461116,428205,472303,427998,37.5304093,127.1353246
260,천호대로45길,1336669,698088,638586,40973,258104,244350,217849,250657,324731,37.5748834,127.0434998
27,올림픽로71길,1725619,802548,923080,72467,343377,349711,302835,334712,322521,37.5410753,127.1221724
299,봉화산로30길,1417392,704390,713003,84119,290707,276832,231831,281996,251923,37.6001086,127.0844587
631,까치산로4길,1560815,747326,813483,86066,331668,376037,275370,235383,256300,37.5407521,126.8457235
234,사가정로23가길,827085,417940,409148,70094,144258,152345,162805,155505,142091,37.5798261,127.0714434
745,대림로44길,1570710,814552,756154,67384,283092,304155,285706,338660,291710,37.5028399,126.8979154
872,신원로3길,2781217,1456925,1324303,137604,1118809,560766,316090,337939,310013,37.4822863,126.9267396
822,여의대방로24길,1277401,679269,598134,72993,314177,266011,221580,210854,191800,37.4982232,126.9208785
820,여의대방로22나길,819075,436667,382410,37468,186706,174293,152946,140877,126800,37.4962692,126.9219053
792,동작대로7길,2983959,1554638,1429330,98052,856172,592097,410116,508415,519119,37.4785745,126.9793959
250,장한로5길,1772108,1003795,768316,33078,343485,381783,346967,372440,294355,37.5650384,127.0643419
797,사당로16길,1807802,902729,905081,99712,437790,372054,283914,296732,317607,37.4792975,126.9709874
