행정구역별,50~54세,55~59세,60~64세,65~69세,합계
종로구,"12,740","12,971","11,113","7,756",44580
용산구,"18,243","18,169","16,084","10,951",63447
성동구,"24,414","24,611","20,948","13,895",83868
광진구,"28,266","27,985","23,883","15,601",95735
동대문구,"27,150","27,869","25,675","18,270",98964
중랑구,"34,707","37,146","31,941","21,728",125522
성북구,"35,230","34,296","30,469","21,467",121462
강북구,"26,440","27,474","25,084","18,238",97236
도봉구,"28,896","30,354","27,849","18,467",105566
노원구,"45,964","43,520","37,957","25,608",153049
은평구,"38,921","39,389","35,094","25,052",138456
서대문구,"24,979","24,530","21,497","14,851",85857
마포구,"27,899","26,202","22,251","15,181",91533
양천구,"40,475","37,588","31,689","21,439",131191
강서구,"43,534","46,869","42,977","29,194",162574
구로구,"31,289","32,968","30,280","22,076",116613
금천구,"20,234","21,587","18,206","12,534",72561
영등포구,"27,830","28,859","25,790","18,152",100631
동작구,"29,473","30,469","27,074","19,540",106556
관악구,"34,457","35,559","32,233","24,418",126667
서초구,"33,070","29,306","26,804","19,128",108308
강남구,"42,945","36,557","32,826","24,111",136439
송파구,"52,798","52,756","47,106","31,861",184521
강동구,"34,170","36,267","32,864","22,391",125692
중구,"10,201","10,801","9,816","6,848",37666
