번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
1,덕수노인교실,서울특별시 성북구 성북동 ,,19990720,운영중,,,,,,,0,,,198888.209912       ,454622.457969       ,운영
2,늘푸른노인교실,서울특별시 성북구 동소문동1가 ,,20000129,운영중,,,,,,,0,,,,,운영
3,(사)대한노인회성북구지회부설 노인교실,서울특별시 성북구 안암동5가 104-37번지 ,,19990511,운영중,,,,,,,80,,,202562.110747       ,453442.754288       ,운영
4,개동경로대학,서울특별시 성북구 정릉동 771-3번지 ,,20060830,운영중,,,,,,,80,0,1,200379.846909       ,457052.320093       ,운영
5,개동경로대학,서울특별시 성북구 정릉동 771-3번지 ,,20060830,운영중,,,,,,,80,0,1,200379.846909       ,457052.320093       ,운영
6,정릉4동 시니어아카데미,서울특별시 성북구 정릉동 401-20번지 ,,20020107,운영중,,,,,,,102,0,1,200852.980366       ,456382.577717       ,운영
7,돈암시니어노인교실,서울특별시 성북구 동선동2가 1-2번지 ,,20031020,운영중,,,,,,,60,0,0,201475.274513       ,454218.111309       ,운영
8,종암노인교실,서울특별시 성북구 종암동 79-204번지 ,,20031021,운영중,,,,,,,110,5,24,202774.971534       ,455320.571132       ,운영
9,백영관대학,서울특별시 강서구 방화동 두란노교회 ,,20170310,운영중,,,,,,,100,,7,,,운영
10,로뎀어르신행복학교,서울특별시 강서구 방화동 로뎀교회 나동 ,,20170329,운영중,,,,,,,90,,11,,,운영
11,양천실버교실,서울특별시 양천구 신월동 ,,20170525,운영중,,,,,,,80,8,,,,운영
12,동천 노인교실,서울특별시 영등포구 신길동 ,,19961025,운영중,,,,,,,,,,,,운영
13,제일소망대학,서울특별시 송파구 마천동 ,,20150825,운영중,,,,,,,0,,,,,운영
14,다사랑노인교실,서울특별시 영등포구 대림동 ,,20160118,운영중,,,,,,,0,,,,,운영
15,영암교회 노인교실,서울특별시 영등포구 신길동 ,,20100119,운영중,,,,,,,,,,,,운영
16,영중 경로대학,서울특별시 영등포구 영등포동8가 ,,20060629,운영중,,,,,,,,,,,,운영
17,영등포50플러스센터,서울특별시 영등포구 여의도동 56-1번지 ,,20160122,운영중,,,,,,,0,13,,,,운영
18,노인체력단련교실,서울특별시 영등포구 신길동 ,,20010601,운영중,,,,,,,0,,,,,운영
19,양평2동 노인교실,서울특별시 영등포구 양평동4가 ,,19960105,운영중,,,,,,,,,,,,운영
20,노원50플러스센터,서울특별시 노원구 상계동 ,,20161103,운영중,,,,,,,110,,,,,운영
21,천주교 광장동성당 효경대학,서울특별시 광진구 광장동 ,,20140807,운영중,,,,,,,50,,2,,,운영
22,구의교실,서울특별시 광진구 구의동 ,,20061116,운영중,,,,,,,100,,2,,,운영
23,광장노인교실,서울특별시 광진구 광장동 ,,19980406,운영중,,,,,,,100,,,,,운영
24,권드인베드로대학,서울특별시 광진구 자양동 ,,20060306,운영중,,,,,,,50,,2,,,운영
25,평화노인교실,서울특별시 구로구 고척동 164-13번지 ,,20100304,운영중,,,,,,,50,,,186947.915886       ,444555.363325       ,운영
26,백삼노인교실,서울특별시 구로구 개봉동 258-3번지 ,,20080612,운영중,,,,,,,90,0,6,,,운영
27,구로3동 성당 노인대학,서울특별시 구로구 구로동 165-1번지 ,,20011130,운영중,,,,,,,150,1,4,190653.92601        ,442901.992794       ,운영
28,오류동장로교회노인교실,서울특별시 구로구 오류동 18-2번지 ,,20040324,운영중,,,,,,,127,0,16,185895.750637       ,443944.651232       ,운영
29,늘푸른노인교실,서울특별시 구로구 구로동 503-10번지 ,,20041022,운영중,,,,,,,0,0,23,189706.981274       ,444084.191455       ,운영
30,오류남부교회 소망경로대학,서울특별시 구로구 오류동 187-2번지 ,,20050202,운영중,,,,,,,110,0,5,,,운영
31,광진실버대학,서울특별시 구로구 개봉동 294-7번지 ,,20050903,운영중,,,,,,,70,0,70,186767.000569       ,442726.208876       ,운영
32,구로3동성당노인대학,서울특별시 구로구 구로동 165-1번지 ,,20011130,운영중,,,,,,,150,1,4,190653.92601        ,442901.992794       ,운영
33,천주교고척동교회부설고척노인교실,서울특별시 구로구 고척동 156-2번지 ,,20020208,운영중,,,,,,,0,0,53,187402.308898       ,444750.692529       ,운영
34,대한노인회구로지회부설노인교실,서울특별시 구로구 구로동 105번지 ,,19950913,운영중,,,,,,,62,0,0,190142.31628        ,444136.717748       ,운영
35,가리봉노인교실,서울특별시 구로구 가리봉동 132-86번지 ,,19950720,운영중,,,,,,,50,0,6,190205.523832       ,442225.245336       ,운영
36,시립 구로노인종합복지관 노인교실,서울특별시 구로구 구로동 102번지 ,,19970417,운영중,,,,,,,0,0,0,190163.724553       ,443865.923657       ,운영
37,대한노인회구로구지회부설노인교실,서울특별시 구로구 구로동 102번지 ,,19970115,운영중,,,,,,,0,0,0,190163.724553       ,443865.923657       ,운영
38,고척노인교실,서울특별시 구로구 고척동 172-6번지 ,,19981228,운영중,,,,,,,120,0,0,187620.633853       ,444710.622282       ,운영
39,개봉노인교실,서울특별시 구로구 개봉동 141-52번지 ,,19950720,운영중,,,,,,,56,0,0,186943.267645       ,444078.257514       ,운영
40,신성노인교실,서울특별시 구로구 구로동 43번지 ,,20001028,운영중,,,,,,,80,0,0,190310.52           ,444572.38           ,운영
41,사랑의집 노인교실,서울특별시 마포구 창전동 ,,20131210,운영중,,,,,,,65,,,,,운영
42,서울노인교실,서울특별시 마포구 염리동 23-78번지 ,,20120503,운영중,,,,,,,70,,,195345.11142        ,450123.689093       ,운영
43,서현노인교실,서울특별시 마포구 서교동 379-7번지 ,,20090224,운영중,,,,,,,200,2,24,192505.885384       ,450085.380726       ,운영
