,0,address
0,"33.4899,126.49373","[Location(제주썬호텔앤카지노, 67, 삼무로, 제주시, 제주특별자치도, 63125, 대한민국, (33.4899509, 126.4939325, 0.0))]"
1,"33.48944,126.48508","[Location(한신오피스텔, 도령로, 제주시, 제주특별자치도, 63125, 대한민국, (33.48858205, 126.484586632503, 0.0))]"
2,"33.48181,126.47352","[Location(노형로, 노형동, 제주시, 제주특별자치도, 63123, 대한민국, (33.4817803254189, 126.473544344273, 0.0))]"
3,"33.50577,126.49252","[Location(제주국제공항, 2, 공항로, 제주시, 제주특별자치도, 63115, 대한민국, (33.50675095, 126.491600008935, 0.0))]"
4,"33.255790000000005,126.4126","[Location(꿈에그린민박, 천제연로, 색달동, 서귀포시, 제주특별자치도, 대한민국, (33.255747, 126.41273, 0.0))]"
5,"33.25862,126.40442","[Location(일주서로, 상예동, 서귀포시, 제주특별자치도, 대한민국, (33.258617847917, 126.404419217854, 0.0))]"
6,"33.24309,126.42472","[Location(중문관광로, 대포동, 서귀포시, 제주특별자치도, 대한민국, (33.2430887723203, 126.424715046738, 0.0))]"
7,"33.26598,126.37082","[Location(한창로, 화순리, 상창리, 서귀포시, 제주특별자치도, 63522, 대한민국, (33.2660564013262, 126.371000311213, 0.0))]"
8,"33.23603,126.47827","[Location(이어도로, 월평동, 서귀포시, 제주특별자치도, 63563, 대한민국, (33.2360570396602, 126.478275634138, 0.0))]"
9,"33.23977,126.5645","[Location(Gs 25, 칠십리로, 서귀동, 서귀포시, 제주특별자치도, 63592, 대한민국, (33.2398282, 126.5643082, 0.0))]"
10,"33.24613,126.55957","[Location(칠십리 고기완자, 태평로, 서귀동, 서귀포시, 제주특별자치도, 63592, 대한민국, (33.2462828, 126.5594892, 0.0))]"
11,"33.24775,126.40793","[Location(신라호텔, 중문관광로72번길, 색달동, 서귀포시, 제주특별자치도, 대한민국, (33.2472982, 126.408037547648, 0.0))]"
12,"33.24511,126.40579","[Location(3089, 색달동, 서귀포시, 제주특별자치도, 대한민국, (33.2452008, 126.4057023, 0.0))]"
13,"33.250240000000005,126.41022","[Location(세븐일레븐, 중문관광로72번길, 색달동, 서귀포시, 제주특별자치도, 대한민국, (33.25008475, 126.410930688363, 0.0))]"
14,"33.250370000000004,126.40992","[Location(중문골프클럽 (Joong-Moon Country Club), 예래해안로, 상예동, 서귀포시, 제주특별자치도, 대한민국, (33.2497724, 126.406060966547, 0.0))]"
15,"33.24904,126.40767","[Location(스위트호텔 (Hotel The Suites), 3089, 색달동, 서귀포시, 제주특별자치도, 대한민국, (33.2490646, 126.408205928226, 0.0))]"
16,"33.30958,126.34083","[Location(한창로, 동광리, 서귀포시, 제주특별자치도, 대한민국, (33.3096102650558, 126.340902097986, 0.0))]"
17,"33.239740000000005,126.43773","[Location(이어도로, 대포동, 서귀포시, 제주특별자치도, 63563, 대한민국, (33.2397380857026, 126.437731676511, 0.0))]"
18,"33.24289,126.45084","[Location(Yakcheonsa Temple, 이어도로, 월평동, 서귀포시, 제주특별자치도, 63563, 대한민국, (33.2429862, 126.450292, 0.0))]"
19,"33.252140000000004,126.41268","[Location(여미지식물원, 중문관광로, 색달동, 서귀포시, 제주특별자치도, 대한민국, (33.2527154, 126.4129491, 0.0))]"
20,"33.249109999999995,126.50907","[Location(제주월드컵경기장, 일주동로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국, (33.2494483, 126.5086538, 0.0))]"
21,"33.24273,126.46096","[Location(이어도로, 월평동, 서귀포시, 제주특별자치도, 63563, 대한민국, (33.2427506502096, 126.46095682956, 0.0))]"
