,addrbunho,address,cafe,cafe_id,image_url,franchise,si,address1,town,ri,final_address,lat,lng
1719,2031-10,제주특별자치도 제주시 이도2동,고스란히,26604033,http://t1.daumcdn.net/place/4BA20485D86048C98FEB839B1A79F3F0,0.0,제주시,"['제주특별자치도', '제주시', '이도2동']",제주시,제주시,제주특별자치도 제주시 이도2동 2031-10,33.48845963805351,126.53515174491565
2893,1245-5,제주특별자치도 제주시 이도1동,벨로인연구실,1952082824,,0.0,제주시,"['제주특별자치도', '제주시', '이도1동']",제주시,제주시,제주특별자치도 제주시 이도1동 1245-5,33.50273862033667,126.53263464223409
2762,543,제주특별자치도 제주시 내도동,낭만주의,503035232,,0.0,제주시,"['제주특별자치도', '제주시', '내도동']",제주시,제주시,제주특별자치도 제주시 내도동 543,33.49554563322647,126.43758112307212
546,252-2,제주특별자치도 제주시 연동,카페뮤로,1452036521,http://t1.daumcdn.net/localfiy/searchregister_1107888949,0.0,제주시,"['제주특별자치도', '제주시', '연동']",제주시,제주시,제주특별자치도 제주시 연동 252-2,33.48738238191449,126.48784390968234
2421,987-6,제주특별자치도 서귀포시 표선면 가시리,시골친구,902742954,http://t1.daumcdn.net/place/16019E03FBE14CF6BC51832AC4D03BF4,0.0,서귀포시,"['제주특별자치도', '서귀포시', '표선면', '가시리']",표선면,가시리,제주특별자치도 서귀포시 표선면 가시리 987-6,33.346799610184355,126.783752623352
2389,268-3,제주특별자치도 서귀포시 서귀동,성읍마트카페,808101168,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '서귀동']",서귀포시,서귀포시,제주특별자치도 서귀포시 서귀동 268-3,33.25105874574209,126.56524446737903
1956,2822-12,제주특별자치도 서귀포시 색달동,바다2822,299559976,http://t1.daumcdn.net/place/A7AEBA916D1F4F249A5F0F2FAB89CBC4,0.0,서귀포시,"['제주특별자치도', '서귀포시', '색달동']",서귀포시,서귀포시,제주특별자치도 서귀포시 색달동 2822-12,33.2459380905002,126.41266867189064
2398,1488-3,제주특별자치도 제주시 연동,러쉬,19723055,,0.0,제주시,"['제주특별자치도', '제주시', '연동']",제주시,제주시,제주특별자치도 제주시 연동 1488-3,33.48087086616346,126.4917339954775
2538,1273-1,제주특별자치도 서귀포시 안덕면 상창리,아뜰리에제주명월,27602129,http://t1.daumcdn.net/place/DB76234A1652451C8434D4D4383E4A8C,0.0,서귀포시,"['제주특별자치도', '서귀포시', '안덕면', '상창리']",안덕면,상창리,제주특별자치도 서귀포시 안덕면 상창리 1273-1,33.27948926209153,126.3614863674365
2397,1141-3,제주특별자치도 제주시 일도1동,망고레이 동문시장점,2014263446,http://t1.daumcdn.net/place/30A55F77790743ADA5D2E526AD0C2546,0.0,제주시,"['제주특별자치도', '제주시', '일도1동']",제주시,제주시,제주특별자치도 제주시 일도1동 1141-3,33.512398411770164,126.52838943111216
