,Unnamed: 0,Unnamed: 0.1,cafe_id,cafe,address,addrbunho,image_url
0,0,0,11877497,여정다방,제주특별자치도 서귀포시 서귀동,294-24,
1,1,1,1263620627,아장아장 베이비카페,제주특별자치도 제주시 외도일동,475-8,http://t1.daumcdn.net/place/83909D95B967478D8024DC12AB200F22
2,2,2,368243275,소소희,제주특별자치도 서귀포시 대정읍 보성리,175-6,http://t1.daumcdn.net/place/8395E365EA5B4F04BB9B12AAA3B0F4BF
3,3,3,1571310600,항구다방,제주특별자치도 제주시 건입동,1325,
4,4,4,13571332,두모악무인찻집,제주특별자치도 서귀포시 성산읍 삼달리,437-5,http://t1.daumcdn.net/place/2535E720C72A4A5B9D06BF6EBCC9831D
5,5,5,1343252834,24,제주특별자치도 제주시 한경면 고산리,2162-12,http://t1.daumcdn.net/localfiy/7A4F353282924D72B79662A317278564
6,6,6,18756214,템푸스,제주특별자치도 제주시 구좌읍 월정리,27,http://t1.daumcdn.net/place/385683FE6034429AB09767D980F3DC28
7,7,7,1082954673,나포리카페,제주특별자치도 제주시 우도면 연평리,5,
8,8,8,23933670,커피가게쉬고가게,제주특별자치도 서귀포시 표선면 표선리,40-71,http://t1.daumcdn.net/place/8C1542130B1E4DA2B686606B1C00D8CE
9,9,9,15521226,슬로우,제주특별자치도 제주시 이도2동,1766-1,
10,10,10,969286213,방방파티 제주삼화점,제주특별자치도 제주시 삼양이동,2176-12,
11,11,11,27495099,뽀요요카페,제주특별자치도 제주시 우도면 연평리,2652,http://t1.daumcdn.net/place/CF76BFDD3BA743C29334DA163C7E6D01
12,12,12,25127127,행복한차실,제주특별자치도 서귀포시 성산읍 오조리,398-10,
13,13,13,26423460,카페아꼬떼,제주특별자치도 제주시 조천읍 선흘리,468-2,
14,14,14,1411458986,카페일상,제주특별자치도 제주시 아라일동,6126-13,http://t1.daumcdn.net/localfiy/8933047E9B6842C785770C8AC71B79CB
15,15,15,1776764094,제주신화월드 풀사이드카페,제주특별자치도 서귀포시 안덕면 서광리,산 24,
16,16,16,1569358885,오스모시스,제주특별자치도 제주시 구좌읍 한동리,1338-8,http://t1.daumcdn.net/place/3A185A49B53F4602A9A674E9D947ABBE
17,17,17,29367180,르카페하도,제주특별자치도 제주시 구좌읍 종달리,1422-2,http://t1.daumcdn.net/localfiy/EF3F22B234E546D487290B0E6E33479E
18,18,18,523593877,제주이도작심스페이스,제주특별자치도 제주시 아라이동,3012-3,
19,19,19,1734125423,탑동로17,제주특별자치도 제주시 삼도이동,1192-14,
20,20,20,14794664,하늘정원,제주특별자치도 서귀포시 서홍동,445-11,http://t1.daumcdn.net/place/9228276A2A98437D975BC2488A159BFC
21,21,21,2146177384,이디야커피 제주성읍점,제주특별자치도 서귀포시 표선면 성읍리,2381,
22,22,22,423785095,런던아이,제주특별자치도 제주시 영평동,2169-3,http://t1.daumcdn.net/place/9F1ED7D7CE4E46DEB87096446B1E5C1F
23,23,23,1763917939,아라커피,제주특별자치도 제주시 아라일동,2605-8,
24,24,24,899167314,언니앤누나,제주특별자치도 서귀포시 성산읍 고성리,557-9,http://t1.daumcdn.net/localfiy/searchregister_1947480252
25,25,25,77169837,카페8길,제주특별자치도 서귀포시 하예동,706-12,http://t1.daumcdn.net/place/9BA0B34F4A6746EDA48FB9CA705B3AC7
26,26,26,21500110,세유카페,제주특별자치도 제주시 이도2동,1009,
27,27,27,10529356,신데렐라,제주특별자치도 제주시 연동,262-33,
28,28,28,2019227130,달보드레,제주특별자치도 제주시 조천읍 와흘리,385-1,
29,29,29,243570162,미닝풀모먼츠,제주특별자치도 제주시 노형동,3801-10,
30,30,30,1566296022,분홍분홍해,제주특별자치도 서귀포시 표선면 성읍리,2045-1,
31,31,31,450635424,블루오션,제주특별자치도 서귀포시 안덕면 사계리,2166-3,
32,32,32,221879692,망고홀릭 애월해안도로점,제주특별자치도 제주시 애월읍 고내리,459,http://t1.daumcdn.net/place/6C09B8E7B1084BCC8485977A7D7E25A2
33,33,33,23680552,제주 다이어트카페,제주특별자치도 서귀포시 남원읍 남원리,92-2,
34,34,34,2048608010,함와로580,제주특별자치도 제주시 조천읍 와산리,905-1,
35,35,35,15609127,술탄왕자,제주특별자치도 제주시 연동,303-8,http://t1.daumcdn.net/place/C8575D115CB24E4F8A3365F29E235699
36,36,36,572095611,프레쉬모먼트,제주특별자치도 제주시 아라일동,6119-2,
37,37,37,1863718416,카페유블레스,제주특별자치도 제주시 조천읍 함덕리,1269-9,http://t1.daumcdn.net/localfiy/84C5441049B74E858E99FFE209B2408C
38,38,38,1041387920,사랑이머무는카페,제주특별자치도 서귀포시 강정동,1339,
39,39,39,1249506544,온도커피,제주특별자치도 제주시 노형동,937-5,http://t1.daumcdn.net/localfiy/28AF64D6581E4A93917B0425562F2B07
40,40,40,1574963073,커피산책,제주특별자치도 제주시 애월읍 광령리,1312,http://t1.daumcdn.net/place/99D0E3A66692477781AFA9508509681D
41,41,41,484703392,바라나시책골목,제주특별자치도 제주시 용담1동,406,http://t1.daumcdn.net/place/C855BF58E7934B93A9AD6E7ED4B83AFA
42,42,42,1874740851,베베맘이유식,제주특별자치도 서귀포시 색달동,1939-4,
43,43,43,1157034383,사닮과,제주특별자치도 제주시 아라일동,6102-1,http://t1.daumcdn.net/place/EE8574B21833428D9022DB24C874F48B
44,44,44,21521006,은주다방,제주특별자치도 제주시 조천읍 조천리,2211-4,
45,45,45,392583573,심심푸리만화카페 제주외도점,제주특별자치도 제주시 외도일동,476-1,http://t1.daumcdn.net/place/E04654C565E14FBEBEF19B3106E4BA69
46,46,46,565082614,오운커피,제주특별자치도 제주시 아라일동,6061-11,http://t1.daumcdn.net/localfiy/07D18875E521476AA275761FBA036513
47,47,47,1094176770,메가커피 제주서홍점,제주특별자치도 서귀포시 서홍동,285-3,
48,48,48,27417809,달아래팥,제주특별자치도 제주시 한경면 낙천리,1647-4,http://t1.daumcdn.net/place/8231213DC11449D287A17FEE1ECF59B0
49,49,49,27543508,바람코지무인카페,제주특별자치도 서귀포시 성산읍 신천리,351,
50,50,50,890539012,아이올라,제주특별자치도 제주시 삼도1동,529-7,
51,51,51,175627742,프로파간다,제주특별자치도 제주시 아라일동,6073-10,http://t1.daumcdn.net/localfiy/searchregister_1477486750
52,52,52,24858466,자유다방,제주특별자치도 서귀포시 서귀동,272-40,
53,53,53,669309474,세컨드하우스,제주특별자치도 제주시 아라일동,6119-1,
54,54,54,310541140,메가커피 서귀포효돈점,제주특별자치도 서귀포시 하효동,299-4,
55,55,55,128900657,누벨바그,제주특별자치도 제주시 이도이동,437-7,http://t1.daumcdn.net/localfiy/searchregister_1351307630
56,56,56,27446225,이성필커피,제주특별자치도 제주시 이도2동,1772-3,http://t1.daumcdn.net/place/4641CD3C01E34F83B25960A5B8F9203A
57,57,57,900010274,카페라능,제주특별자치도 제주시 이호일동,1927-1,http://t1.daumcdn.net/place/53417AB001D2489D8C421DFC24A6A13B
58,58,58,1464121620,듀블라썸,제주특별자치도 제주시 조천읍 조천리,2435,
59,59,59,1417482849,라이드원,제주특별자치도 제주시 오라이동,1552-5,
60,60,60,1787101427,1158족욕카페,제주특별자치도 제주시 애월읍 고내리,1158,http://t1.daumcdn.net/place/5678ABE30B67447184E5FD2804A4A2B7
61,61,61,695425663,카페무이,제주특별자치도 서귀포시 동홍동,103-9,
62,62,62,183413796,리틀비틀키즈카페 모슬포점,제주특별자치도 서귀포시 대정읍 하모리,1497-2,
63,63,63,437994854,쿠키키,제주특별자치도 제주시 애월읍 하귀2리,1436-5,http://t1.daumcdn.net/localfiy/searchregister_657448960
64,64,64,1372705165,커피다,제주특별자치도 제주시 삼도1동,518-12,
65,65,65,24122047,제주봄카페,제주특별자치도 서귀포시 토평동,329-1,
66,66,66,25081546,난장이공,제주특별자치도 제주시 애월읍 소길리,797-9,http://t1.daumcdn.net/place/AAFA87F418F44FD5B4C7BB5B824B8484
67,67,67,24995428,점프노리키즈카페 제주아라점,제주특별자치도 제주시 아라일동,6097-23,http://t1.daumcdn.net/place/061BCD1A9A694E07A6D1509AE2CC642F
68,68,68,17358222,이리와서네,제주특별자치도 서귀포시 성산읍 온평리,951-1,
69,69,69,1317904920,지니어스방탈출키즈카페,제주특별자치도 제주시 일도이동,416-15,
70,70,70,2063104773,퀸틸리스,제주특별자치도 서귀포시 대정읍 상모리,3975-2,http://t1.daumcdn.net/place/E638F32459D24BC2A0B38BED307D9AA8
71,71,71,1453089281,파라토도스 오션뷰카페,제주특별자치도 제주시 한림읍 금능리,1426-3,http://t1.daumcdn.net/place/1B13BB1CD5724121963EEA43464EB93B
72,72,72,425490754,카페무세띠,제주특별자치도 제주시 이도2동,1174-13,
73,73,73,646235382,까떼커피,제주특별자치도 서귀포시 표선면 표선리,44-9,http://t1.daumcdn.net/place/F53FF861D83845D39DF949190DED4B5F
74,74,74,1836523652,쉬젠,제주특별자치도 제주시 우도면 연평리,2512-1,
75,75,75,24545861,알라스카인제주,제주특별자치도 제주시 조천읍 함덕리,957-3,http://t1.daumcdn.net/place/B6D124FF622C4C689BFA17531F0C36EC
76,76,76,9060022,브라운카페,제주특별자치도 제주시 연동,1411-3,http://t1.daumcdn.net/place/216C407AB911401BA7916B5C0DE653D3
77,77,77,27184109,간이옥돔역,제주특별자치도 서귀포시 남원읍 태흥리,409-5,http://t1.daumcdn.net/place/19025A2212CF462E960DD42D82438F5B
