,0
0,820334664
1,462953236
2,1614226536
3,1134184953
4,2138887740
5,922031961
6,525040777
7,1723674731
8,8004071
9,2117920739
10,54744498
11,9014772
12,24728475
13,800870387
14,26611921
15,24202224
16,21354343
17,27444658
18,25746672
19,1791174609
20,2054874307
21,620754905
22,27462392
23,781815500
24,21966229
25,24119020
26,1152497778
27,1708810930
28,1744813827
29,26472123
30,24529760
31,214550777
32,11847647
33,1102892342
34,21306757
35,21548090
36,27600553
37,503035232
38,11227644
39,928019143
40,9121024
41,14692777
42,1771584253
43,26913707
44,1471935476
45,1242181411
46,763028881
47,203197803
48,1555768053
49,582294685
50,405561254
51,21192633
52,174383263
53,771528594
54,1830339195
55,1345386197
56,26453267
57,892567182
58,1332741345
59,1396553592
60,927076320
61,1852395758
62,20199015
63,1030102321
64,174083149
65,1107400243
66,1811563310
67,14507521
68,183510117
69,1898200066
70,27352561
71,1423743525
72,1659425472
73,11226629
74,400294536
75,1215079836
76,940746910
77,2118322249
78,17880473
79,1125892746
80,25068937
81,21533532
82,905148196
83,366324762
84,608633520
85,14551017
86,25919683
87,2041023368
88,24804810
89,22102921
90,9014203
91,152666632
92,23949373
93,24579606
94,23718177
95,220828207
96,27582995
97,26408441
98,26872769
99,1826717062
100,802525220
101,80778995
102,1812622562
103,8938943
104,535831991
105,955977012
106,1224078578
107,22920683
108,98084239
109,8374875
110,117707838
111,24347146
112,19175622
113,15949144
114,114853921
115,657512517
116,10821669
117,1772364605
118,589165496
119,1350700058
120,193979206
121,1814950368
122,10724152
123,1936856046
124,217396897
125,1855543470
126,1844211343
127,15866494
128,9418579
129,1654508088
130,1574752972
131,11173923
132,21467708
133,2045619533
134,108251752
135,1558161696
136,990678473
137,1176884672
138,11680302
139,1895308522
140,24370496
141,1238209144
142,40362160
143,1224000506
144,491261190
145,1012693966
146,2039287361
147,147131655
148,27512679
149,1965741812
150,809248605
151,25574092
152,1491586412
153,1529120192
154,26992379
155,1068087635
156,1589936933
157,1338492632
158,1453869792
159,12629614
160,806827154
161,26643820
162,1309802012
163,1148468558
164,10503421
165,300558593
166,592514835
167,1555846821
168,1952082824
169,27587084
170,402001366
171,1795134031
172,1834542575
173,1432716764
174,2124333312
175,19372891
176,1019578215
177,23900952
178,956053304
179,23634647
180,1915100011
181,283241962
182,1212481627
183,27578807
184,1219642174
185,26622677
186,7993351
187,819063138
188,2020652537
189,408123283
190,1800553338
191,443668794
192,362896153
193,1435520100
194,967248315
195,23104686
196,24768798
197,1773337836
198,9175158
199,26550108
200,13641918
201,1189691187
202,582507428
203,26864252
204,8946313
205,20008813
206,34637952
207,26472012
208,12815448
209,376678708
210,14094857
211,1660285860
212,1740995462
213,1313144249
214,1407871842
215,1475079279
216,14722487
217,25463707
218,1902665365
219,1050137537
220,21480387
221,1544172456
222,106738699
223,25015448
224,355557993
225,9534263
226,2129881514
227,255776746
228,254401747
229,48694538
230,292295175
231,417487283
232,27453944
233,19452193
234,9723492
235,27485828
236,443765682
237,150508228
238,1355002877
239,1804471233
240,24265474
241,1961444877
242,1606769668
243,1553958207
244,166612667
245,27169548
246,490092802
247,8958536
248,27190454
249,1540300848
250,764455426
251,814556793
252,1612106388
253,11621537
254,26061965
255,1009948858
256,992379624
257,316421450
258,1804590593
259,21504310
260,1223019171
261,24856805
262,26614242
263,10868418
264,179409762
265,19409621
266,966134287
267,1924491734
268,26144079
269,24407173
270,915489436
271,469786239
272,1761234271
273,19659136
274,1700625289
275,100535814
276,1443596351
277,998666015
278,1482869934
279,10901647
280,290988270
281,1236495454
282,1718507544
283,1520974413
284,1885220129
285,8451183
286,27606311
287,27198960
288,634550669
289,8652912
290,26841590
291,1457384220
292,684628891
293,20708433
294,2109942731
295,1335188772
296,1353926708
297,742135928
298,336197952
299,15264554
300,438601509
301,803475517
302,11165003
303,1235447800
304,24400103
305,1963457925
306,1136711435
307,19244249
308,1929760696
309,2350189
310,295580160
311,816844811
312,378668962
313,15627608
314,1789758057
315,26491535
316,21569109
317,441219950
318,25865787
319,1380172256
320,15954117
321,27418367
322,1576496922
323,978510513
324,1304962850
325,18742934
326,1315063856
327,1537287969
