,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,addrbunho,address,cafe,cafe_id,image_url
1365,5.0,,,294-24,제주특별자치도 서귀포시 서귀동,여정다방,11877497,
1366,0.0,0.0,,360-5,제주특별자치도 서귀포시 남원읍 수망리,수망일기,356575987,http://t1.daumcdn.net/place/19506F1D7D3B4A9A8A10E42B69ECB9F1
2727,0.0,,,2120-174,제주특별자치도 제주시 한경면 저지리,스토리온,13615194,http://t1.daumcdn.net/cfile/214D9F3A57BA9FAC2E
2728,1.0,,,529-7,제주특별자치도 제주시 삼도1동,아이올라,890539012,
2729,2.0,,,960-1,제주특별자치도 제주시 애월읍 하가리,라꾸르카페펜션,712442596,
2730,3.0,,,3215-5,제주특별자치도 제주시 조천읍 함덕리,영심이랑커피랑,661112233,
2731,4.0,,,950-3,제주특별자치도 서귀포시 안덕면 동광리,꽃썸카페,1811558348,http://t1.daumcdn.net/place/9B6D2275A6454E97A74D655194F3D8E2
2732,5.0,,,418-2,제주특별자치도 제주시 한림읍 옹포리,BOHO,1166368101,http://t1.daumcdn.net/localfiy/F645CCD5F7634EE78F0A3F8B50C336C2
2733,6.0,,,951-1,제주특별자치도 서귀포시 성산읍 온평리,이리와서네,17358222,
2735,8.0,,,1518-2,제주특별자치도 제주시 구좌읍 행원리,틴더타운,1844506916,
2736,9.0,,,397-96,제주특별자치도 서귀포시 서홍동,콩,21456492,
2737,10.0,,,611-1,제주특별자치도 제주시 조천읍 북촌리,제주웰컴비앤비앤카페,26593247,
2738,11.0,,,1890-2,제주특별자치도 제주시 구좌읍 하도리,카페록록,292093583,http://t1.daumcdn.net/place/0C884E2BC80B4BC499312F4162CD99AA
2739,12.0,,,1398,제주특별자치도 제주시 한림읍 협재리,과달루페,1586281697,
2740,13.0,,,3786-1,제주특별자치도 제주시 노형동,프롬더럭 노형점,175437176,http://t1.daumcdn.net/place/5AB290400D8F401ABED484B1751BA960
2741,14.0,,,1821-7,제주특별자치도 서귀포시 호근동,말랑제주,145451396,http://t1.daumcdn.net/localfiy/E53C3F40C8814582BE7CD9ADB8D04C64
2743,16.0,,,1200-5,제주특별자치도 제주시 우도면 연평리,UDO1,112520029,http://t1.daumcdn.net/localfiy/FC90713BB1884D5EB856324F09C27592
2744,17.0,,,2578-7,제주특별자치도 제주시 노형동,이디야커피 제주노형점,8040757,http://t1.daumcdn.net/place/4781D8AEE3744DFB9630F1E2DDA18789
2746,19.0,,,4554,제주특별자치도 제주시 애월읍 봉성리,새빌,2113185266,http://t1.daumcdn.net/place/FC8F731ED68745129B27E2761D7DF66C
2747,20.0,,,318-23,제주특별자치도 서귀포시 서귀동,간세다리족욕카페,1182742651,http://t1.daumcdn.net/place/12FDE59C541F48B7ACB2A49EA958A824
2748,21.0,,,111-5,제주특별자치도 제주시 건입동,카페비주앤주,1458559946,http://t1.daumcdn.net/place/CCCA668E1BC6405198B5E7E95983AF88
2749,22.0,,,2477,제주특별자치도 제주시 애월읍 애월리,어보브앤비욘드,109596187,
2750,23.0,,,938-17,제주특별자치도 서귀포시 대정읍 하모리,수궁다방,9159454,http://t1.daumcdn.net/place/27557632E47F4AAA9419D362D9288872
2751,24.0,,,1906-1,제주특별자치도 서귀포시 성산읍 신산리,바네샤인제주,614047479,
2752,25.0,,,501-1,제주특별자치도 제주시 구좌읍 월정리,월정역,25429740,
2754,27.0,,,1326,제주특별자치도 제주시 연동,볕이드는곳벧디,64602009,http://t1.daumcdn.net/place/35B0695B7C374F60A501AC01A0497A38
2755,28.0,,,2610,제주특별자치도 제주시 구좌읍 송당리,블랑벨,43428286,
2756,29.0,,,1142-1,제주특별자치도 제주시 건입동,바이티티카카,1368243224,http://t1.daumcdn.net/place/396833BB712B4D8FAA5C167CDB71A737
2757,30.0,,,2211-4,제주특별자치도 제주시 조천읍 조천리,은주다방,21521006,
2758,31.0,,,1015-1,제주특별자치도 제주시 화북일동,딜라잇,1800518097,
2760,33.0,,,3794-4,제주특별자치도 제주시 한경면 고산리,린앤솔게스트하우스&카페,25082204,http://t1.daumcdn.net/cfile/2572AE3954F52EC907
2762,35.0,,,1416-2,제주특별자치도 제주시 일도일동,감성카페심지,218148094,
2763,36.0,,,995-15,제주특별자치도 제주시 오라일동,다소니,10267331,http://t1.daumcdn.net/place/88A2BB0A829144CEA0924EBE41EA80E5
2764,37.0,,,1981,제주특별자치도 제주시 구좌읍 평대리,그시절그바다,935880608,http://t1.daumcdn.net/localfiy/E1AEEB2CEC0A438494E2589E2131A481
2765,38.0,,,1236-9,제주특별자치도 제주시 한림읍 귀덕리,하우스레서피 당근케이크,11539852,http://t1.daumcdn.net/place/B6FFB6FE55BB4F3BB023B41563412C18
2766,39.0,,,1368,제주특별자치도 제주시 한경면 청수리,에스테틱스오브슬로우,814388114,
2767,40.0,,,1452-18,제주특별자치도 제주시 구좌읍 세화리,원비원,14495585,
2768,41.0,,,255-1,제주특별자치도 서귀포시 서귀동,브와두스베이커리카페 서귀점,243076064,http://t1.daumcdn.net/place/1CD91D15CEAC408AB2509E88D866135C
2769,42.0,,,2170-2,제주특별자치도 제주시 영평동,카페이안갤러리,1928999614,
2770,43.0,,,615,제주특별자치도 서귀포시 서호동,꽃이다,1982450009,http://t1.daumcdn.net/localfiy/4E601746337047A0962A92C4BC9B5C3C
2771,44.0,,,207-1,제주특별자치도 서귀포시 강정동,툭탁,1091922425,
2772,45.0,,,646-20,제주특별자치도 서귀포시 대정읍 하모리,M1971,1011859675,http://t1.daumcdn.net/place/9A6B07A636A24D10A27259FCC681F8EB
2773,46.0,,,435,제주특별자치도 제주시 용담2동,노셋플랜즈,2127711601,http://t1.daumcdn.net/place/50192689892F4B8CBE8E733CDECE5066
2774,47.0,,,2550-2,제주특별자치도 서귀포시 성산읍 수산리,벤촌,874561747,
2775,48.0,,,1767-4,제주특별자치도 서귀포시 남원읍 위미리,뽀르또,24962250,
2776,49.0,,,1482,제주특별자치도 제주시 구좌읍 행원리,소심한물고기,1127913149,http://t1.daumcdn.net/localfiy/87E0CF1905784AF4AD111593BBB0EBEC
2777,50.0,,,91-18,제주특별자치도 서귀포시 남원읍 남원리,무인카페등대,1399896417,
2778,51.0,,,1553-7,제주특별자치도 서귀포시 서호동,메종드카페 신서귀포점,1523721571,http://t1.daumcdn.net/localfiy/717B67C4554D45ACBC51BAC113629687
2779,52.0,,,469-8,제주특별자치도 제주시 조천읍 선흘리,커피공방무무,21036311,http://t1.daumcdn.net/place/D4B91BABF5874D669706C31EEF1588A5
2781,54.0,,,2837-7,제주특별자치도 제주시 애월읍 하귀2리,수웨기,2130671964,http://t1.daumcdn.net/localfiy/D0EF219D569C4E858DD9BECFEA9AB61F
2782,55.0,,,319-1,제주특별자치도 제주시 외도이동,갤러리앤카페더몹시,1772131994,http://t1.daumcdn.net/localfiy/36F9617EA9054AA7A5900A2DD5F695A3
2783,56.0,,,455-4,제주특별자치도 제주시 한림읍 금능리,오로라정원,1570047722,http://t1.daumcdn.net/place/160F4EC3D8F34CB59CE44E1E217381C8
2784,57.0,,,1192-14,제주특별자치도 제주시 삼도이동,탑동로17,1734125423,
2785,58.0,,,1845,제주특별자치도 제주시 한림읍 동명리,별세계,791489868,http://t1.daumcdn.net/localfiy/searchregister_75261093
2786,59.0,,,1690-5,제주특별자치도 제주시 이도1동,지구아이,21025723,
2787,60.0,,,2071-1,제주특별자치도 서귀포시 안덕면 사계리,소자38,19541624,http://t1.daumcdn.net/place/390D0B22654E47CA840499A686EB3C40
2788,61.0,,,3257,제주특별자치도 제주시 구좌읍 행원리,카페더폴로,428004887,
2789,62.0,,,2405-8,제주특별자치도 제주시 조천읍 신촌리,피플카페,1915394502,
2791,64.0,,,2679-6,제주특별자치도 서귀포시 성산읍 난산리,에이그라운드,1722014680,http://t1.daumcdn.net/place/48BE226E82344B96B6B0C8BEA0C9EBCC
2792,65.0,,,248-5,제주특별자치도 제주시 용담1동,부띠크아바,648061721,http://t1.daumcdn.net/localfiy/1229DFB3FEBB4AC4A4CBD850FC0412AA
2793,66.0,,,2654-2,제주특별자치도 서귀포시 중문동,카노푸스,25865205,http://t1.daumcdn.net/place/50A286E78C964C1EBC6F7EE20608F21F
2794,67.0,,,1419,제주특별자치도 제주시 구좌읍 종달리,가비오타카페,657055154,http://t1.daumcdn.net/localfiy/D36FAF670F2D4608ACAD75BEF32531AD
2795,68.0,,,177-5,제주특별자치도 서귀포시 안덕면 사계리,레이지박스,14602309,http://t1.daumcdn.net/place/F54D0BA350694EFE8269D0399C1A9EDD
2796,69.0,,,309,제주특별자치도 제주시 우도면 연평리,제주한량,153091550,
2797,70.0,,,1319-122,제주특별자치도 제주시 건입동,제일다방,21500475,
2798,71.0,,,1416-1,제주특별자치도 제주시 일도1동,토리노카페,1134695830,http://t1.daumcdn.net/place/9A6710637BCC4DADB81C9581CE6464FC
2799,72.0,,,1429-1,제주특별자치도 제주시 건입동,빛의정원 LED플라워카페,1737188664,
2801,74.0,,,128,제주특별자치도 제주시 노형동,그러므로 part2,747057137,http://t1.daumcdn.net/place/3E103468B01F469690C85E9544F38A07
2802,75.0,,,2599-1,제주특별자치도 제주시 한경면 판포리,꼬닥꼬닥,1891548585,http://t1.daumcdn.net/localfiy/AB7BECB10C144449AB52333932915697
2803,76.0,,,1084-13,제주특별자치도 제주시 일도일동,효진카페,10962774,
2804,77.0,,,797-9,제주특별자치도 서귀포시 남원읍 하례리,놀소랑,934978608,
2805,78.0,,,1417-5,제주특별자치도 서귀포시 대정읍 하모리,초원다방,9479420,
2806,79.0,,,1550-10,제주특별자치도 서귀포시 서호동,에이바우트커피 혁신도시점,222280511,http://t1.daumcdn.net/place/B0E34DE8D193494BA21D625FFC2B9311
2808,81.0,,,1137-1,제주특별자치도 제주시 용담삼동,펍 배솔트블루,2104442505,http://t1.daumcdn.net/place/49D1A1D2980D471BAEEBC1AD691C1DDA
2811,84.0,,,1435-2,제주특별자치도 제주시 건입동,쎄시봉카페,27505139,
2812,85.0,,,2477,제주특별자치도 서귀포시 대정읍 상모리,리유,254311410,
2813,86.0,,,317-1,제주특별자치도 서귀포시 성산읍 고성리,약속다방,11253014,
2814,87.0,,,2476,제주특별자치도 서귀포시 성산읍 수산리,더파인트리,1031391755,http://t1.daumcdn.net/place/E0B6743740C64A428EB1AB42DD2717C3
2816,89.0,,,786,제주특별자치도 서귀포시 안덕면 창천리,휴일로,979505096,http://t1.daumcdn.net/place/E2056311B2384378AA6C0FF4C58E40BD
2818,91.0,,,1515-2,제주특별자치도 제주시 구좌읍 행원리,카페테리아빈센트,1583077475,http://t1.daumcdn.net/localfiy/183126E85E944F7DBBFD38E84BAB2892
2819,92.0,,,353-2,제주특별자치도 서귀포시 표선면 세화리,라그라스,291795118,
2820,93.0,,,2401-46,제주특별자치도 제주시 오라삼동,팔롬비니 제주본점,1080732845,http://t1.daumcdn.net/place/658D1988C8384F2EAE26314D39CEB530
2822,95.0,,,291-43,제주특별자치도 서귀포시 서귀동,메가커피 서귀포중앙점,1601162920,http://t1.daumcdn.net/place/56928C28FEBA4F219E519A76F77497EB
2824,97.0,,,2816-7,제주특별자치도 제주시 용담일동,네버베럴,1247540603,
2825,98.0,,,1523,제주특별자치도 제주시 연동,아라파파,19606781,http://t1.daumcdn.net/place/2358731FD78B4984BF9B6E35F8549491
2827,0.0,,,1521-6,제주특별자치도 제주시 구좌읍 세화리,만남다방,9759552,
2828,1.0,,,697-9,제주특별자치도 서귀포시 남원읍 신례리,개판오분전,1691071130,http://t1.daumcdn.net/localfiy/59CF0EB8AE1F4DBBA9351A7B37A58823
2829,2.0,,,245-1,제주특별자치도 서귀포시 안덕면 사계리,지오아라,26984197,http://t1.daumcdn.net/place/98760F19310A4962A4A12D0942BECBAF
2830,3.0,,,1080-1,제주특별자치도 서귀포시 성산읍 삼달리,본스커피,21928570,
2831,4.0,,,2678-1,제주특별자치도 제주시 삼양삼동,골드쉴,342370046,
2833,6.0,,,155-4,제주특별자치도 서귀포시 강정동,이매커피,2138078231,
2834,7.0,,,2002,제주특별자치도 제주시 용담이동,오가다,713030848,
2835,8.0,,,8-1,제주특별자치도 제주시 삼도2동,수레바퀴밑,8430175,
2836,9.0,,,291-10,제주특별자치도 제주시 노형동,미스틱3도,263044374,
2837,10.0,,,1186-4,제주특별자치도 제주시 이도이동,리유니온,996009126,http://t1.daumcdn.net/place/EF7FC033F8B94D27A85D1AF78814A9DF
2838,11.0,,,2724-9,제주특별자치도 제주시 애월읍 하귀2리,종이시계,16729584,http://t1.daumcdn.net/place/CDE7662FB2DA48218EC4771E12E362AD
2839,12.0,,,3-16,제주특별자치도 제주시 회천동,클라우드베이,26070826,
2840,13.0,,,1408-3,제주특별자치도 제주시 건입동,공차 제주탑동점,1634294548,
2844,17.0,,,2282-7,제주특별자치도 제주시 애월읍 납읍리,쉬리니케이크,1545999578,http://t1.daumcdn.net/place/B7AC929F5AEA4C50AF078F299D99923A
2846,19.0,,,1206,제주특별자치도 제주시 용담삼동,오멍가멍,93326428,http://t1.daumcdn.net/localfiy/searchregister_2146746829
2849,22.0,,,2268,제주특별자치도 제주시 조천읍 신촌리,카페다바리스타학원,421825440,
2850,23.0,,,2903-1,제주특별자치도 제주시 한경면 판포리,들꽃정원,1785463108,
2851,24.0,,,1795,제주특별자치도 제주시 이호일동,미리로,85293537,http://t1.daumcdn.net/localfiy/29E62F76447E4DEE87684A4DC2C51099
2852,25.0,,,1557,제주특별자치도 제주시 애월읍 곽지리,고구마카페,1391971921,
2853,26.0,,,145-4,제주특별자치도 서귀포시 법환동,벙커하우스,670044535,http://t1.daumcdn.net/place/6FEFD129ED054D439445BD18DC8C9D82
2854,27.0,,,433-9,제주특별자치도 서귀포시 서홍동,씨씨씨카페커브코너,1940225743,
2855,28.0,,,1940,제주특별자치도 제주시 구좌읍 하도리,하도1940,649431482,
