,0
0,13615194
1,890539012
2,712442596
3,661112233
4,1811558348
5,1166368101
6,17358222
7,24347146
8,1844506916
9,21456492
10,26593247
11,292093583
12,1586281697
13,175437176
14,145451396
15,1814950368
16,112520029
17,8040757
18,620754905
19,2113185266
20,1182742651
21,1458559946
22,109596187
23,9159454
24,614047479
25,25429740
26,1369887624
27,64602009
28,43428286
29,1368243224
30,21521006
31,1800518097
32,27587084
33,25082204
34,1885220129
35,218148094
36,10267331
37,935880608
38,11539852
39,814388114
40,14495585
41,243076064
42,1928999614
43,1982450009
44,1091922425
45,1011859675
46,2127711601
47,874561747
48,24962250
49,1127913149
50,1399896417
51,1523721571
52,21036311
53,1659425472
54,2130671964
55,1772131994
56,1570047722
57,1734125423
58,791489868
59,21025723
60,19541624
61,428004887
62,1915394502
63,1482648752
64,1722014680
65,648061721
66,25865205
67,657055154
68,14602309
69,153091550
70,21500475
71,1134695830
72,1737188664
73,26472123
74,747057137
75,1891548585
76,10962774
77,934978608
78,9479420
79,222280511
80,547787267
81,2104442505
82,11204547
83,365182368
84,27505139
85,254311410
86,11253014
87,1031391755
88,764455426
89,979505096
90,85931195
91,1583077475
92,291795118
93,1080732845
94,1375299538
95,1601162920
96,26350894
97,1247540603
98,19606781
99,9759552
100,1691071130
101,26984197
102,21928570
103,342370046
104,1961444877
105,2138078231
106,713030848
107,8430175
108,263044374
109,996009126
110,16729584
111,26070826
112,1634294548
113,966509222
114,26915541
115,1558161696
116,1545999578
117,21533532
118,93326428
119,27237677
120,759893317
121,421825440
122,1785463108
123,85293537
124,1391971921
125,670044535
126,1940225743
127,649431482
128,814472338
129,321470880
130,11096340
131,9860668
132,163800109
133,1041387920
134,23688005
135,10726823
136,1362051346
137,1019578215
138,1351854455
139,1308516268
140,644907230
141,1207320787
142,491261190
143,335320170
144,21464856
145,2040765880
146,27453944
147,1874799654
148,1059318772
149,25408323
150,109815908
151,11649322
152,1914045683
153,27222177
154,1776764094
155,1665910227
156,1440596180
157,26892272
158,500837796
159,20713665
160,24454786
161,8254991
162,1455842682
163,20013713
164,10556350
165,2117293311
166,26915456
167,25689482
168,878012600
169,27411422
170,877966090
171,743280846
172,835239739
173,258547215
174,30139815
175,742999664
176,1775347710
177,26314496
178,1566296022
179,335647369
180,763028881
181,87754050
182,27184109
183,2137039503
184,1169938804
185,1956172931
186,1868305338
187,618642706
188,860479742
189,1858538846
190,1130369934
191,2041023368
192,1787101427
193,21531701
194,15836134
195,1321823596
196,1291755548
197,691711301
198,1015501764
199,2117340011
200,366324762
201,1536403197
202,1988114779
203,25611455
204,46385338
205,1242750756
206,1554445070
207,733510519
208,17624227
209,13006148
210,18233689
211,1368445762
212,18300298
213,15995114
214,1273727606
215,2139926867
216,634457668
217,1307726606
218,23066935
219,541563988
220,24065310
221,24973813
222,732972914
223,2042761032
224,1165753785
225,59954839
226,712251450
227,1926333996
228,1630752171
229,11186789
230,555396252
231,124449765
232,26849911
233,2109942731
234,1491888881
235,20098634
236,1475505222
237,1771624099
238,572717031
239,569237782
240,1609197528
241,1376491962
242,980884989
243,1712596669
244,27578807
245,26801319
246,772855204
247,21652710
248,1382308139
249,1659023004
250,220828207
251,1580292836
252,19637817
253,16266441
254,1086180376
255,603595713
256,1778508689
257,1596778646
258,27235840
259,646967712
260,841049510
261,1194700388
262,1268423886
263,380370523
264,25811095
265,2124719483
266,191520632
267,1224432904
268,746191857
269,27610067
270,554821745
271,2045474568
272,19773549
273,27199017
274,21464869
275,792242154
276,443491743
277,2036344906
278,800870387
279,1017114358
280,1317962525
281,915606273
282,18398832
283,1099481075
284,27221956
285,21517570
286,522781475
287,21524936
288,12591043
289,1797467444
290,21354343
291,928019143
292,10308612
293,11165003
294,21513135
295,27327675
296,23579370
297,153768001
298,1316013494
299,1740995462
300,1775803460
301,8652912
302,1191527008
303,88307711
304,1802810168
305,1238036812
306,1824227168
307,23385255
308,17319327
309,11266063
310,892171786
311,184819082
312,72059741
313,1766579218
314,970199448
315,1266121660
316,27391688
317,17698044
318,27169387
319,204311642
320,1467936825
321,1789758057
322,652038191
323,27417809
324,258584774
325,950182529
326,26950133
327,1804471233
328,8913622
329,167774033
330,8958536
331,2135146074
332,1812622562
333,293987431
334,29367180
335,26423460
336,24529760
337,25532537
338,152584639
339,2013539846
340,1975015812
341,895381140
342,27048565
343,402001366
344,438601509
345,18752674
346,1660120281
347,20467548
348,1459123472
349,445133179
350,634550669
351,1081428596
352,791629311
353,12768992
354,1017596762
355,24768798
356,1014465607
357,1317904920
358,1834770525
359,1630441900
360,1146640630
361,691894331
362,738749385
363,540531467
364,578523567
365,166699310
366,2045619533
367,427933285
368,1546271016
369,1578213876
370,1924491734
371,1507788040
372,842886196
373,1021735455
374,1485843941
375,2130714204
376,1423809046
377,440194716
378,547444722
379,25746672
380,12768122
381,1832440912
382,26867476
383,22920683
384,366276280
385,1675972774
386,608633520
387,1549546578
388,17575450
389,1785652336
390,1102892342
391,419551632
392,1910534579
393,17968437
394,1191127342
395,9392074
396,9467890
397,11364025
398,190369119
399,1182716369
400,1298037718
401,274060572
402,1886872931
403,17116799
404,1166334921
405,280369383
406,615199217
407,298687443
408,20195814
409,587086951
410,2095612103
411,176233189
412,26613718
413,650335330
414,19387196
415,15639202
416,315505226
417,27393506
418,25401011
419,1191437352
420,19091072
421,1814111982
422,2021835685
423,900010274
424,8538347
425,599191002
426,922717571
427,1334176690
428,1322258770
429,1161443023
430,1337328227
431,10229448
432,27447046
433,717903736
434,312015931
435,21510014
436,1263620627
437,25147552
438,1626813663
439,21248158
440,1425230111
441,169198683
442,19392070
443,1061357752
444,1770500852
445,2146177384
446,14704382
447,1188891490
448,27122037
449,524279907
450,27459317
451,982245999
452,2106402698
453,949925820
454,1754902304
455,397690161
456,26783660
457,10213366
458,16266379
459,1243067692
460,21569109
461,26849825
462,743701653
463,1967886953
464,15335237
465,1283413444
466,1123305214
467,13608624
468,27091859
469,1788999978
470,481425144
471,1828289100
472,544070762
473,11925364
474,1338197965
475,1495963284
476,1115019463
477,15966014
478,21127491
479,17359058
480,11227640
481,1555455122
482,307240389
483,1298489888
484,8328801
485,9418579
486,1879356852
487,1717813496
488,1196799335
489,21607825
490,1026347054
491,8335689
492,1462122525
493,12893116
494,867356495
495,1632499645
496,256377512
497,19737274
498,484719553
499,27335344
500,572471659
501,1308571099
502,27231185
503,631880226
504,358401480
505,499698149
506,1475079279
507,1903101962
508,9024564
509,974280429
510,27545188
511,8395411
512,1079119268
513,484703392
514,26618465
515,20008813
516,20330057
517,1435520100
518,1360925124
519,1481862781
520,1799037921
521,11277880
522,998666015
523,14146167
524,1508998774
525,717587648
526,1443898709
527,1448337364
528,1950228127
529,26874310
530,624719590
531,19533259
532,1077012209
533,26993607
534,1229685652
535,1009646745
536,580678923
537,517527024
538,113890301
539,1505002027
540,997829954
541,585972945
542,1064472113
543,150782347
544,25548687
545,17490077
546,1562616227
547,11053803
548,499863986
549,23257049
550,2057401857
551,1704592834
552,21722607
553,56105489
554,24879322
555,881686777
556,19700381
557,15866494
558,1332741345
559,798656427
560,27537304
561,1612113893
562,21484309
563,593789734
564,27391690
565,375630130
566,203197803
567,685289703
568,33227807
569,150508228
570,42496408
571,21524009
572,24355818
573,1303257427
574,1071240534
575,21463508
576,14692777
577,354830431
578,899167314
579,17022482
580,1893805090
581,429668433
582,24927052
583,617793541
584,401402282
585,18771353
586,601624191
587,1453089281
588,17376396
589,22461647
590,1587892291
591,18013376
592,24907645
593,27030147
594,1220270738
595,552481804
596,39080316
597,500959152
598,1502956536
599,1042078920
600,166400963
601,1067823244
602,769399654
603,24955378
604,609727321
605,1461897927
606,342246033
607,787154430
608,21545833
609,26872769
610,1179980567
611,34637952
612,495424696
613,1642124500
614,1780288211
615,21654712
616,699643426
617,47104905
618,489755369
619,1460475575
620,1335188772
621,217855261
622,21473483
623,1932954547
624,2103068863
625,1314653330
626,1895308522
627,571671874
628,23680552
629,24393052
630,24876533
631,802525220
632,1064788897
633,897536273
634,835228958
635,13127508
636,22710682
637,542658811
638,1055190967
639,227904457
640,26632610
641,845441282
642,1044133186
643,216179497
644,1679756496
645,27539649
646,1347414054
647,902742954
648,1735739279
649,1442265449
650,25645551
651,1812243909
652,25085808
653,1497607830
654,1452036521
655,18815393
656,26971517
657,861734612
658,1382675450
659,613506337
660,1543761583
661,26980914
662,24545861
663,1235739767
664,44582262
665,947061434
666,1504196789
667,15852294
668,1469548109
669,38149795
670,1028406499
671,2017906733
672,17415831
673,818388437
674,18394009
675,26591021
676,711143878
677,27522521
678,1603626480
679,1094176770
680,551429441
681,1959760107
682,1716755523
683,816844811
684,2067140104
685,400294536
686,701934412
687,1350700058
688,1195258663
689,1464669708
690,9444065
691,139839930
692,10752403
693,25118051
694,15977425
695,23254894
696,25497397
697,271841473
698,704440992
699,913278032
700,98139314
701,283057065
702,1840449714
703,970602317
704,25575534
705,15390581
706,1247991740
707,974630164
708,25015467
709,398553794
710,21502265
711,15918352
712,26320023
713,26876324
714,1011061684
715,1423811026
716,14080373
717,21477441
718,1203203290
719,27376769
720,1672417180
721,26408441
722,491948690
723,1007330337
724,259690308
725,1679229749
726,940746910
727,649838510
728,20493423
729,582294685
730,27127929
731,2022136521
732,1307831887
733,2132065667
734,647397940
735,941345504
736,1783248373
737,9283479
738,1931412508
739,10393892
740,448389899
741,1270261743
742,990327115
743,877404031
