,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,dong,address1,lat,lng
2837,제주특별자치도 제주시 이도2동 1990-12,1990-12,제주특별자치도 제주시 이도2동,루멘커피,19175622,,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.491111167547935,126.53827100989353
1168,제주특별자치도 제주시 노형동 2578-3,2578-3,제주특별자치도 제주시 노형동,해마루카페,613506337,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.48957936797029,126.47423440353076
1932,제주특별자치도 제주시 오라이동 964-1,964-1,제주특별자치도 제주시 오라이동,카페킹,702070415,,0.0,제주시,제주시,제주시,오라이동,"['제주특별자치도', '제주시', '오라이동']",33.488421392581934,126.51759581277067
1303,제주특별자치도 제주시 노형동 728-1,728-1,제주특별자치도 제주시 노형동,카페레몬테이블 제주점,17060162,http://t1.daumcdn.net/place/AF309523C79147A68CB87AB64ED8F04F,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.48132130871516,126.48552977819328
2450,제주특별자치도 제주시 노형동 3803-1,3803-1,제주특별자치도 제주시 노형동,한량 노형점,491755873,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.482088942556054,126.47508445322062
110,제주특별자치도 제주시 연동 273-20,273-20,제주특별자치도 제주시 연동,설빙 신제주직영점,24766902,http://t1.daumcdn.net/place/C2927C983A1B4BC2A067F657B5FCCC67,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.486198498023306,126.49022663642216
1946,제주특별자치도 제주시 이도2동 1019-8,1019-8,제주특별자치도 제주시 이도2동,3M썬팅 이도점,8993919,,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.49449775835981,126.53255409841115
3167,제주특별자치도 제주시 이도2동 408-17,408-17,제주특별자치도 제주시 이도2동,예전에,10636099,,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.502752057293904,126.54202751575599
2024,제주특별자치도 제주시 봉개동 237-13,237-13,제주특별자치도 제주시 봉개동,라헨느골프텔,24122982,,0.0,제주시,제주시,제주시,봉개동,"['제주특별자치도', '제주시', '봉개동']",33.45231272999128,126.61511712509602
496,제주특별자치도 제주시 노형동 2615-10,2615-10,제주특별자치도 제주시 노형동,죽이야기 카페제주점,12135268,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.48671818774355,126.47392029004972
2297,제주특별자치도 제주시 아라이동 3001-9,3001-9,제주특별자치도 제주시 아라이동,할리스커피 제주이도점,13109630,,1.0,제주시,제주시,제주시,아라이동,"['제주특별자치도', '제주시', '아라이동']",33.4926247479627,126.54283838456506
958,제주특별자치도 제주시 화북일동 15-2,15-2,제주특별자치도 제주시 화북일동,DP513,1694795313,,0.0,제주시,제주시,제주시,화북일동,"['제주특별자치도', '제주시', '화북일동']",33.51764741839907,126.57680193469223
2438,제주특별자치도 제주시 노형동 59,59,제주특별자치도 제주시 노형동,젤리빈슬라임하우스,1154156788,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.47603347772302,126.48531573862677
2416,제주특별자치도 제주시 아라일동 6090-5,6090-5,제주특별자치도 제주시 아라일동,카페하울,462846431,,0.0,제주시,제주시,제주시,아라일동,"['제주특별자치도', '제주시', '아라일동']",33.47281482197023,126.54477993095269
2455,제주특별자치도 제주시 도평동 6,6,제주특별자치도 제주시 도평동,강생아 내가너를사랑해,1718139563,,0.0,제주시,제주시,제주시,도평동,"['제주특별자치도', '제주시', '도평동']",33.48011434049562,126.45870824184986
1144,제주특별자치도 제주시 노형동 3813-5,3813-5,제주특별자치도 제주시 노형동,공차 제주한라대점,1307831887,,1.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.47865192338646,126.47504923639697
1596,제주특별자치도 제주시 노형동 931,931,제주특별자치도 제주시 노형동,다희연포르테,27536761,http://t1.daumcdn.net/place/AF40A349F78E4277BE32BE10C3B613E5,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.48535000988146,126.48302262922988
634,제주특별자치도 제주시 일도2동 83-11,83-11,제주특별자치도 제주시 일도2동,코아빈,21469296,,0.0,제주시,제주시,제주시,일도2동,"['제주특별자치도', '제주시', '일도2동']",33.50048945084121,126.54654637986235
622,제주특별자치도 제주시 삼도2동 72-3,72-3,제주특별자치도 제주시 삼도2동,순아,440194716,http://t1.daumcdn.net/place/894949C1E23D4E3E8BE39A03277317A9,0.0,제주시,제주시,제주시,삼도2동,"['제주특별자치도', '제주시', '삼도2동']",33.51307995590078,126.5227243297037
3305,제주특별자치도 제주시 아라일동 6097-16,6097-16,제주특별자치도 제주시 아라일동,카페토르토니,1656006542,http://t1.daumcdn.net/localfiy/BC5FDA20E3274E2CAE4B5394F8210F13,0.0,제주시,제주시,제주시,아라일동,"['제주특별자치도', '제주시', '아라일동']",33.47492413720648,126.54368445263859
87,제주특별자치도 제주시 이도이동 1174-5,1174-5,제주특별자치도 제주시 이도이동,통큰아이카페,863489588,,0.0,제주시,제주시,제주시,이도이동,"['제주특별자치도', '제주시', '이도이동']",33.50170393673447,126.53177065600545
3236,제주특별자치도 제주시 화북일동 1155-2,1155-2,제주특별자치도 제주시 화북일동,아이스빈 제주삼화점,19748755,,0.0,제주시,제주시,제주시,화북일동,"['제주특별자치도', '제주시', '화북일동']",33.5176761182587,126.5725565827187
2381,제주특별자치도 제주시 연동 281-19,281-19,제주특별자치도 제주시 연동,여기카페,106097082,,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.49050938461857,126.49317552787308
3282,제주특별자치도 제주시 아라일동 6116-7,6116-7,제주특별자치도 제주시 아라일동,만랩커피 제주아라점,237818484,,0.0,제주시,제주시,제주시,아라일동,"['제주특별자치도', '제주시', '아라일동']",33.47465001394257,126.54959009034772
555,제주특별자치도 제주시 삼양이동 1965-3,1965-3,제주특별자치도 제주시 삼양이동,이솔라,1995771772,http://t1.daumcdn.net/localfiy/searchregister_1503588823,0.0,제주시,제주시,제주시,삼양이동,"['제주특별자치도', '제주시', '삼양이동']",33.525660197949605,126.58408722175912
222,제주특별자치도 제주시 이도1동 1403-2,1403-2,제주특별자치도 제주시 이도1동,윤재커피,371491242,http://t1.daumcdn.net/place/C26CDB1CF06E4CA8BBF33BA567EDECBC,0.0,제주시,제주시,제주시,이도1동,"['제주특별자치도', '제주시', '이도1동']",33.511801418263836,126.5241090090702
