,cafe_id,cafe,address,addrbunho,image_url
0,17624223,카페띠아모 제주북노형점,제주특별자치도 제주시 노형동,1054-6,
1,17360017,길,제주특별자치도 제주시 일도1동,1330-2,
2,1540027970,늘제과점,제주특별자치도 서귀포시 표선면 표선리,2424-2,http://t1.daumcdn.net/localfiy/877DA494C47948A4A1A18C557C4160F7
3,1985176121,카페그해여름,제주특별자치도 제주시 한경면 조수리,428-1,http://t1.daumcdn.net/place/46FA35091EF9461190A674C141671F74
4,18392685,카페블룸,제주특별자치도 제주시 오라이동,3103-1,
5,20966951,쓰담쓰담 게스트하우스,제주특별자치도 제주시 한경면 판포리,2881-1,
6,1566433967,네꼬야 티하우스,제주특별자치도 제주시 애월읍 하귀1리,138-13,http://t1.daumcdn.net/place/E4C86EBD61DD4A12AEEE5650F82AD796
7,27167127,재클린디저트 모슬포점,제주특별자치도 서귀포시 대정읍 하모리,2126-8,http://t1.daumcdn.net/place/4474E07C21E14B889447BADE8C48233D
8,27167283,테이카웃마씸,제주특별자치도 제주시 용담1동,129-6,
9,10056433,호수다방,제주특별자치도 서귀포시 성산읍 고성리,307-3,
10,407565533,제주의꿈,제주특별자치도 제주시 애월읍 납읍리,1021,
11,2065881844,아뽀밍고,제주특별자치도 서귀포시 성산읍 성산리,399-46,
12,51590542,이정의댁,제주특별자치도 서귀포시 중문동,1702-4,http://t1.daumcdn.net/place/0B5C65D9224148B3A1582A3BD88F7DDE
13,2064021817,감성커피 한라병원점,제주특별자치도 제주시 연동,1964-3,
14,345842015,이너피스,제주특별자치도 제주시 노형동,3796-9,http://t1.daumcdn.net/localfiy/8420F8D172564222BFCE8B5CE1931E15
15,19499624,커피팔레트,제주특별자치도 제주시 이도2동,1178-3,http://t1.daumcdn.net/localfiy/283531B8421A462B83C601F6B3DACD8B
16,9008202,미소다방,제주특별자치도 제주시 용담1동,33,
17,14522964,기원다방,제주특별자치도 서귀포시 대정읍 하모리,1029-10,
18,867356495,하귀1629,제주특별자치도 제주시 애월읍 하귀1리,1629-1,http://t1.daumcdn.net/place/C0B9326E61E6429F85097E579FC5DE01
19,756799226,동명리공간,제주특별자치도 제주시 한림읍 동명리,1591-4,http://t1.daumcdn.net/place/994668A5BAE14601862E066F53A81A04
20,31532171,델타커피,제주특별자치도 제주시 이도이동,1084-12,
21,371491242,윤재커피,제주특별자치도 제주시 이도1동,1403-2,http://t1.daumcdn.net/place/C26CDB1CF06E4CA8BBF33BA567EDECBC
22,1406958574,바당국수카페,제주특별자치도 제주시 구좌읍 행원리,85-3,http://t1.daumcdn.net/localfiy/59BB07167DAE49F4AA1D4294426E9F4C
23,434148127,만남카페,제주특별자치도 서귀포시 서귀동,271-16,
24,27167225,돌코롬허니,제주특별자치도 제주시 구좌읍 김녕리,1705,http://t1.daumcdn.net/place/E2A649465C4B4A92951FEFB935DC7B8A
25,127048653,마리웨일237 제주노형점,제주특별자치도 제주시 노형동,3779-3,
26,23440244,미녀들의수다,제주특별자치도 제주시 오라이동,1236-3,http://t1.daumcdn.net/cfile/24024C41556FE2D11B
27,1396941120,더블에스,제주특별자치도 제주시 연동,283-46,
