Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,cafe,cafe_id,date,likeCnt,message,point,user_id
0.0,0.0,0.0,소소희,368243275,2019.04.20.,0.0,무화과 사워도우 짱맛! 가격이 11000원이라 비싸지만!,5,510238
1.0,1.0,1.0,소소희,368243275,2019.04.11.,0.0,무화과 사워도우 정말 맛있습니다 가격이 비싼게 아니에요... 만드는데 정성과 시간이 많이들어가는 빵들입니다,5,493246
2.0,2.0,2.0,소소희,368243275,2018.12.28.,0.0,"편안하고 아늑한 분위기, 생각보다 다양한 빵들과 유리병에 담겨있어 왠지 더 맛있게 느껴지는 말차우유. 가격은 좀 있지만 빵순이라면 들러볼만 합니다 사워도우가 맛있어요!",4,342350
3.0,3.0,3.0,소소희,368243275,2018.11.14.,0.0,amazing sourdough bread!,5,295841
4.0,4.0,4.0,소소희,368243275,2018.08.17.,0.0,언제까지나 자리를 지켜주었음 하는 우리 동네 완소 빵집!,5,207453
5.0,5.0,5.0,템푸스,18756214,2019.08.05.,0.0,"관광지라 그런지... 비싼데 맛은 그닥
그래도 뭐 어쩔수없이 다른 카페 자리 없으면 갈 수 밖에 없는 곳",3,965685
6.0,6.0,6.0,템푸스,18756214,2019.07.29.,0.0,1샷도 못 미치는 6500원 짜리 바닐라 라떼 먹고 싶음 가세요. 뷰는 좋아요. 그래서 1점. ,1,946140
7.0,7.0,7.0,템푸스,18756214,2019.07.26.,0.0,"코코넛커피, 아이스라떼 등등 이것저것 시켜먹었는데 라떼 종류는.. 샷을 반샷만 넣는 건지, 템핑을 안하는 건지 모르겠지만 커피 맛이 거의 안 납니다. 그냥 시럽 들어간 우유 마시는 느낌... 그~나마 코코넛커피가 마실만 했어요. 아르바이트생도 불친절해서 리뷰보고 들어올걸 하는 후회를 좀 했어요. 그나마 바로 앞에 해변이 있다는 게 작은 매리트.. ",1,937365
8.0,8.0,8.0,템푸스,18756214,2019.06.17.,0.0,아침일찍 갔더니 남자 사장님 에게 대표메뉴가 뭐냐했더니 대표메뉴 없답니다. 그래서 빵 추천좀 해달라했더니 추천안한다합니다.  그동안 뭘그리 당하셨는ㄴ지 모르지만.....  암튼 아메리카노하고  식빵에 생크림올라간거 시켰는데  그냥 soso합니다.,3,811361
9.0,9.0,9.0,템푸스,18756214,2019.05.05.,0.0,"진짜 별로임 통통한 여자 알바생 진짜 4가지 없고,
딸기수플레 시켰는데 계란 비린내가 ㅋㅋㅋㅋㅋ 
음료도 시켰는데 진짜 평범이하  ^^,,

",1,538372
