cafe,cafe_id,name,price,category
펭귄부인,1221695,따뜻한 홍차,"5,000",논커피
펭귄부인,1221695,냉침홍차,"5,000",논커피
펭귄부인,1221695,바닐라 밀크티(ice),"6,000",논커피
펭귄부인,1221695,블루베리 에이드,"6,000",논커피
보롬왓카페,6325127,딸바,"7,000",논커피
메르블루,7860278,아메리카노,,커피
메르블루,7860278,에스프레소,,커피
메르블루,7860278,카페모카,,커피
메르블루,7860278,카페라떼,,커피
메르블루,7860278,카푸치노,,커피
샤라의정원,7930874,미친닭 (2인용),"30,000",기타
샤라의정원,7930874,허니문 (2인용),"30,000",기타
샤라의정원,7930874,샤라의 정원 (2인용),"30,000",기타
샤라의정원,7930874,표고버섯 스파게티 (1인용),"15,000",기타
샤라의정원,7930874,해산물 스파게티 (1인용),"15,000",기타
어린왕자 제주점,7993351,카페라떼,,커피
에스프레사멘테 일리 제주다음점,8004071,라떼 마끼아또,"4,700",커피
이디야커피 제주노형점,8040757,니트로커피,,커피
이디야커피 제주노형점,8040757,민트모카,,커피
이디야커피 제주노형점,8040757,바닐라 라떼,,커피
이디야커피 제주노형점,8040757,카라멜 마끼아또,,커피
이디야커피 제주노형점,8040757,카페 라떼,,커피
이디야커피 제주노형점,8040757,카페 아메리카노,,커피
이디야커피 제주노형점,8040757,카페모카,,커피
이디야커피 제주노형점,8040757,카푸치노,,커피
이디야커피 제주노형점,8040757,화이트 초콜릿 모카,,커피
이디야커피 제주노형점,8040757,콜드브루 화이트 비엔나,,커피
이디야커피 제주노형점,8040757,흑당밀크티빙수,,빙수/아이스크림
이디야커피 제주노형점,8040757,콜드브루라떼,,커피
이디야커피 제주시청점,8042333,니트로커피,,커피
이디야커피 제주시청점,8042333,민트모카,,커피
이디야커피 제주시청점,8042333,바닐라 라떼,,커피
이디야커피 제주시청점,8042333,카라멜 마끼아또,,커피
이디야커피 제주시청점,8042333,카페 라떼,,커피
이디야커피 제주시청점,8042333,카페 아메리카노,,커피
이디야커피 제주시청점,8042333,카페모카,,커피
이디야커피 제주시청점,8042333,카푸치노,,커피
이디야커피 제주시청점,8042333,화이트 초콜릿 모카,,커피
이디야커피 제주시청점,8042333,콜드브루 화이트 비엔나,,커피
이디야커피 제주시청점,8042333,흑당밀크티빙수,,빙수/아이스크림
이디야커피 제주시청점,8042333,콜드브루라떼,,커피
이디야커피 제주중앙점,8047503,니트로커피,,커피
이디야커피 제주중앙점,8047503,민트모카,,커피
이디야커피 제주중앙점,8047503,바닐라 라떼,,커피
이디야커피 제주중앙점,8047503,카라멜 마끼아또,,커피
이디야커피 제주중앙점,8047503,카페 라떼,,커피
이디야커피 제주중앙점,8047503,카페 아메리카노,,커피
이디야커피 제주중앙점,8047503,카페모카,,커피
이디야커피 제주중앙점,8047503,카푸치노,,커피
이디야커피 제주중앙점,8047503,화이트 초콜릿 모카,,커피
이디야커피 제주중앙점,8047503,콜드브루 화이트 비엔나,,커피
이디야커피 제주중앙점,8047503,흑당밀크티빙수,,빙수/아이스크림
이디야커피 제주중앙점,8047503,콜드브루라떼,,커피
이디야커피 제주연동점,8047772,니트로커피,,커피
이디야커피 제주연동점,8047772,민트모카,,커피
