,cafe_id,message,point1
0,368243275,무화과 사워도우 짱맛! 가격이 11000원이라 비싸지만!,1
1,368243275,무화과 사워도우 정말 맛있습니다 가격이 비싼게 아니에요... 만드는데 정성과 시간이 많이들어가는 빵들입니다,1
2,368243275,"편안하고 아늑한 분위기, 생각보다 다양한 빵들과 유리병에 담겨있어 왠지 더 맛있게 느껴지는 말차우유. 가격은 좀 있지만 빵순이라면 들러볼만 합니다 사워도우가 맛있어요!",1
3,368243275,amazing sourdough bread!,1
4,368243275,언제까지나 자리를 지켜주었음 하는 우리 동네 완소 빵집!,1
5,18756214,"관광지라 그런지... 비싼데 맛은 그닥
그래도 뭐 어쩔수없이 다른 카페 자리 없으면 갈 수 밖에 없는 곳",1
6,18756214,1샷도 못 미치는 6500원 짜리 바닐라 라떼 먹고 싶음 가세요. 뷰는 좋아요. 그래서 1점. ,0
7,18756214,"코코넛커피, 아이스라떼 등등 이것저것 시켜먹었는데 라떼 종류는.. 샷을 반샷만 넣는 건지, 템핑을 안하는 건지 모르겠지만 커피 맛이 거의 안 납니다. 그냥 시럽 들어간 우유 마시는 느낌... 그~나마 코코넛커피가 마실만 했어요. 아르바이트생도 불친절해서 리뷰보고 들어올걸 하는 후회를 좀 했어요. 그나마 바로 앞에 해변이 있다는 게 작은 매리트.. ",0
8,18756214,아침일찍 갔더니 남자 사장님 에게 대표메뉴가 뭐냐했더니 대표메뉴 없답니다. 그래서 빵 추천좀 해달라했더니 추천안한다합니다.  그동안 뭘그리 당하셨는ㄴ지 모르지만.....  암튼 아메리카노하고  식빵에 생크림올라간거 시켰는데  그냥 soso합니다.,1
9,18756214,"진짜 별로임 통통한 여자 알바생 진짜 4가지 없고,
딸기수플레 시켰는데 계란 비린내가 ㅋㅋㅋㅋㅋ 
음료도 시켰는데 진짜 평범이하  ^^,,

",0
11,23933670,주변 다른 카페에서 아이스아메로 눈탱이 맞고 여기서 핸드드립으로 위안받고 갑니다. 번창하세요.,1
12,23933670,커피맛도 별로고 가격도넘비싸다,0
