,cafe,message
0,1004카페,"늦게까지 영업해서 커피만 마실 생각에 가보았는데 좋았어요
Very good coffee, fresh juice and lemonade. Dutch Baby dessert with ice cream and maple syrup is DELICIOUS! Bacon and egg sandwich is also very tasty! Great service and almost always open :) "
1,1158족욕카페,"여행일정 마지막쯔음으로 넣고 방문! 왠걸 사람이 없어서 바로 했구요~ 사모님이신가요 너무 친절하셔용
근처 맛집도 자세히 알려주시고
엄마도 이런건 처음해봤는데 여행중 피로도풀리고 좋다며
너무 좋어하셨어요^^"
2,204키친,"전과 달라진 맛크림파스타에 올려진 가니쉬는 시판 훈제삼겹에 데리야끼 소스 역시 같았고, 치킨 가라아게는 사세 브랜드로 추정되는 시판용이였음. 양이 많은 집이라고 하면 맞겠지만 가성비나 맛이 괜찮은 집은 아님여기가 가성비 맛집이라구요? 제주 사람들 어쩌면 좋니.맛은 모두가 아는 맛, 맛 &lt; 분위기맛잇다는 소문 듣고 간 치킨 204는 
두번포크질하고 내려놓을 정도였습니다. 가격을 보면 먹어야겠지만... 크림파스타에서는 단물 맛이 강하고 치킨가라아케는 간장맛이 나지않는 시중에서 파는 치킨 가라아케를 에어프라이에 튀긴 맛과 같았다.딱 여대생 취향의 파스타집. 깔끔하고 괜찮음.너무 기대를 많이 했나봐 ㅜ"
3,2도카페,"커피맛과 카페분위기가 최고입니다
그리고 여사장님이 무척 친절하십니다"
4,2월22일,"가성비최고 분위기최고 주차공간도 최고 
좋아요브런치 카페/ 커피도 싸고 너무 맛있네요!/ 분위기도 너무 좋아요~*"
5,3인칭관찰자시점,"조용히 바다를 보며, 또는 편안한 극장의자에 앉아 사색하기 좋은 카페에요!
노을보기엔 최고!!! "
6,60빈스,"산책하기좋네요정원을 잘 꾸며놨어요
커피맛도 좋고, 외돌개 앞바다가 보이는 풍경은 보너스~산책로도 좋음커피맛은 잘모르는사람이라ㅡㅡㅋ
분위기는정말 좋았습니다ㅎ2015.6.14

한국사업관리연구원
전반기 연수중에서
커피타임
ᆢ
올래길 7코스  외돌개부근외돌개에서 걷는 올레 7코스에 위치한
그림같은 풍경의 카페♥ 팥빙수는 만이천원!올레길 7번코스 중간에 있는 카페
60 beans
팥빙수 먹고 쉬다 갑니다.
힐링 완료:)꼭 가보시길 추천합니다. 아름다운 경치와 함께 와플 맛있게 먹었습니다. "
7,73st,"디저트가 맛있고 빵류도 맛있어요 경치도 좋습니다야경흑흑 너무 맛있어요.. 
메뉴가 가격이 좀 있지만 너무 맛있어서 아깝지 않아요ㅎㅎ 케이크도 드셔보세요!!ㅠㅠ짱맛풍경이 멋져요
테이블종류도 다양해서 가족단위로 오기좋아요5점하고싶었는데 가격이 좀 비싸서...
풍경도 이쁘고 자리도 편하고 정말좋았어요너무이뻐요!굿분위기 좋고 커피도 맛있고 빵도 괜찮았어요 가격이 비싼게 좀 아쉽네요맛있네요. 만족했어요."
8,941헤르츠,"사실 음료 맛은 무난.  분위기가 요즘 감성베이커리 저렴한데 맛있고 친절하셔요!
카페내부도 넓직!!
앗 마감은 11시가 아니라 9:30분이도라구요ㅠㅠ 바나나파운드 ...  &hearts;요기 사장님 넘 센스가 조으신듯,, 음료 커피 기본적으로 맛있구요 베이커리 메뉴 넘 참신하고 맛있고 조아요ㅠㅠ앞으로도 다양하게 만들어주세요 !!너무 맛있는 아이스라떼, ㅠㅠ  달콤한 써머라떼, 꿀같은 상수커피  분위기 너무좋고 분위기에 어울리는 젊은 사장님"
9,ABC베이커리,"빵순이인데 역대급 맛집이에요 크로와상 진짜 미친맛...ㅠㅠ 매일 먹고싶음밀가루 먹으면 트러블 엄청 겪는데 여기 빵은 안 그랬어요. 모카빵 크림치즈빵 페이스트리 설타나식빵 등등 먹었는데 순수하고 본연의 맛이에요. 복제된 인스타 갬성 아니고 철학이 있는 매력적인 공간의 느낌이었답니다 :) 밤빵 무난. 내용물이 들어가있는 빵보다는 바게트와 호밀빵, 양파 어쩌고... 빵이 맛있었다."
10,AND유CAFE,"맛있고 좋았아요
아기자기한 분위기에 조용한 주변동네
정확히 알고가지 않으면 지나치기 쉬울듯요ㅋ
식사하시고 근처 금악오름코스가 좋을 듯 해요♡so yummy! 동서노소 모두에게 적합한 비건 카페의 정수!다른것보다... 물질보다 자연을 생각하는 모습이 아름답습니다.
일회용품을 사용하지 않습니다.!! ^^*제주에서 먹은거 중에 제일 낫다. 심심한 간과 건강한맛. 
단연 최고다~!!! 친절하고 짱! Delicious vegan food whether you're a vegan, vegetarian or carnivore!
Really cute decor and friendly service in a great location with a the beach nearby!
The Apple crumble is amazing!비건식당!
폭풍 검색중 찾은 맛집~~~~
양도 혼자먹기에 많아요^^일단 12월24일 제주도가는데 꼭 가보겠습니다숨겨진보물창고같은곳이에요. 일반 커피숍과는차원이다르다는..! 흔한커피숍말고 건강한맛과 색다른분위기 원하시는분께추천합니다..저랑제남편은단골이되었어용^^"
11,A바우트커피 베라체점,"1층뿐이고 커피가 맛없다는것만 빼면 만족주차장이 없어서 불편함 ㅠㅠ음료도 싸고 눈치안보고 편하게 있을수있음편하게갈수있는곳일하기시르시면 조퇴추천~; 인상팍쓰고 머리쥐어잡으면서 응대하면 누가 기분좋나요불친절한게 컨셉인지, 알바만 있고 매니저가 없어서 그런지...저렴한 가격에 편하게 이용하고 싶은데 음료주문 응대하시는 분들 하나같이 표정이 안좋아요. 탑동점은 안그런데 매니저 문제인가봐요"
12,BBQ 제주삼도점,정말 최고의 맛을 자랑하는곳으로 기억되네요마지막으로 시켜먹은 지 3~4년 돼서 지금은 어떨지 모르겠지만 당시엔 정말 맛있었네요. 제주시내 bbq 체인점 중에서 가장 맛있는 곳 아니었나 합니다.유명한 체인형식이니 맛과 위생은 좋겠죠. ^^ 후라이드가 바삭바삭하고 맛이 있었습니다.
13,BBQ 제주삼화점,치킨도 맛있고 사장님도 정말 친절하세요!깔끔한 실내와 아늑한 분위기 친절한 사장님의 서비스까지 완벽 그자체다른 지점 bbq좀 드셔보세요 ㅜㅜ 기름만 많고 기름도 나쁜건지 늦게 뺀건지 ㅠ 차이 많이 남
14,BBQ프리미엄까페,"별1개도 주기아까움
마이너스 별은 없나?
치킨을 시켰는데ㅋㅋ진짜딱딱한 치킨이 나와서 왜그러냐고 물어보니 원래그런다고만 말함.
특히 늙은 남자사장 완전 불친절.
어짜피 동네장사도 아니고 관광객 상대라 생각하는지  심보가 못됐음.비비큐 진짜 좋아하는데 여긴 아닌듯. 차라리 옆의 세븐일레븐에서 삼김이나 먹을걸.."
15,BOHO,"특별한 분위기와 제주만의 돌담 느낌을  같이 느낄수 있는 특별한 까페네요

커피맛도 조코. 늦게까지 영업하셔서 따뜻하고 편안한 분위기에서 맥주도 한잔 할 수 있었네요 .

옥상에서 바라보는 뷰도 대박이네요옥상뷰가 너무 멋진 곳이예요!!! 커피 맛도좋고!!! 옆에 독채 같은 게스트하우스가 있어서 다음엔 거기서 숙박하고 저녁에 맥주 한잔 하고 싶네요!!!"
16,CUTIE PIE 카페&호텔,"여기 여자사장 ○○○ 4가지 없음.
혼자 일하나...뷰는 좋아요 
그런데 라떼가 양이너무 적고 머핀은 오천원인대 전자레인지에 데워와서 초코가 녹아버려서 맛이 없었어요
식사까지먹어보려햇는데 커피와디저트에실망 해버려서 ㅠ맥주가 맛나요 밤11시까지 영업하는 보석같은 곳으로 부늬기 좋아요. 푹눕는 의자도 있고 ㅎㅎ"
17,Cafe EPL,"약간 가격대가 부담스럽긴 했지만(가격때문에 별 4개)브런치 정말 맛있게 먹었습니다! 콥샐러드와 함께 나오는 유자맛 드레싱도 좋았고 이름은 생각안나지만 바질 샌드위치도 정말 맛있었어요 :)
배불러서 빵은 못 샀지만 식사 후 영수증 지참하면 2층에 있는 빵집에서 빵도 할인된다고 하네요!"
18,Her커피로스터스,사장님은 물장사의 본질을 꿰뚫고 있다. 추천해주시는거 마시면 된다.진지한 커피...알지만 또 매일 새로운 그런맛...
19,M1971,"요트카페라 그런지 다소 산만함비싸요

음악 너무 시끄러워요..가격이좀 쌔지만 가격값 다합니다 친절하시구요 정말 넓고 자리 편해요 ㅎ ㅎ 추천넓다
선곡은 좀 그래커피값이 비싸지만 뷰와 넓은실내가 특징~맛은 소소 바닐라나떼 거품 풍부"
20,W3075,풍경이 예뻐요나만 알고있기 아까운 이곳한라봉에이드 제대로!
21,cafe꿀곰 제주시청점,점주님이 정말 친절하시고 커피도 시청근처에선 따라올 때가 없네요. 강추합니다.
22,project064다방,"페퍼로니 피자, 소고기 버섯크림리조또
진짜 맛있어요!분위기와 커피는 훌륭하나 쉬지않고 삐삑 울리는 그 무언가 기계의 소리와 열린 공간으로 옆 자리의 대화가 싹 다 들릴 수 밖에 없는 업무를 보거나 책을 보기에는 적합하지 않은 장소...동네 주택을 개조한 카페로 대형프렌차이즈에서 못느끼는 분위기와 맛을 제공합니다.
옜날 70년대 2층집 내장재를 싹 벗겨낸 거의 그대로를 인테리어로 쓰고있어요. 저희가 앉았던 2층테이블은 문짝을 떼어서 시멘트블록위에 얹었어요. 아마츄어냄새가 풀풀나고 화장실 디테일도 후지고 계단도 너무가파르지만 그래도 정겨운 가정의 느낌을 가진 카페에요.
마약옥수수 특별한 경험이었어요. 에이드 음료를 시키면 수제청에 싱하(태국)탄산수를 직접 따라서 먹게합니다. 재미있었어요黑豬肉披薩相貌不揚，吃起來非常驚艷
餅皮是用千層派的口感，很酥很香，黑豬肉已經煮成肉絲在最下層，把整個味道帶出來，醬微酸甜超搭，大推！
不過建議三四個一起吃這個，吃到後面容易膩아메리카나롱 마약옥수수 먹었어요
낮에 방문했는데 이층에 손님이 없었지만 올라가는 계단이 불편하고 뭔가 불안한 느낌이라서 일층에 앉았어요  주문하고 한 번 둘러보고 화장실 간다고 이층 갔는데 ㅠ 잘 넘어지는 저는 불편하게 가파른 계단이었어요. 입구로 쭉 들어가면 문 없는 방 같은 공간에 테이블 세갠가 있는데 제일 넓은 자리에 앉았어요. 포트커틀릿. 블랙포크 스피니치 피자
맛나단점 : 춥고 2층계단 가파르고 화장실 불편
장점 : 수제차 마약옥수수등 메뉴 많고 양호음료 종류도 많고 음식도 팔아서 점심먹기에도 좋음
2층까지 있는데 계단이 가파른 느낌이라 2층은 안가봄
근데 저번에 보니 대관해서 영화 상영회도 하는듯
무튼 사람들 엄청 많지 않고 맛있어서 나는 좋음!!!
피자 짱맛! 케일주스 최고!!!!!
직원들 때문에 도로 나온 곳Best cafe in Jeju! ☕️🍰👍조용하고 좋아요:-)"
23,가가하우스,정말 별로네요. 별 하나도 아깝. 제주에 카페가 얼마나 많은데.
24,가랑가랑,"친절한 사장님 멋진 인테리어 맛있는 커피!,,
"
