지진해일대피소명,위,경
계양교통공원,37.1081,129.003
해뜰어린이공원,37.65523,126.62507
도림동 유수지,37.504137,126.89532
안양천 영롱이 인라인마당,37.512453,126.912734
안양천 억새구장 축구장,37.512453,126.912734
영일어린이공원,37.512453,126.912734
신길 유수지,37.512453,126.912734
신길광장,37.512453,126.912734
대림3동 유수지,37.504341,126.895223
학교(폐교)운동장,37.5353131,126.4270217
에너지파크,37.2490399,126.4543179
가곡초등학교운동장,37.5538883,126.8377001
내발산초등학교(체육관동),37.551436,126.837972
방원중학교(체육관동),37.575677,126.808648
녹번동마을마당,37.60395,126.93437
은평평화공원,37.60395,126.93437
불광어린이공원,37.6160647,126.9339579
박석공원,37.62058,126.91102
갈곡리공원,37.62058,126.91102
서갈현공원,37.62058,126.91102
연신내물빛공원,37.62058,126.91102
앵봉산 주민쉼터,37.6243867,126.9122732
길마공원,37.62058,126.91102
좌월공원,37.62058,126.91102
궁말공원,37.62058,126.91102
신진자동차고등학교 운동장,37.59418,126.92555
영락중학교 운동장,37.59418,126.92555
응암2동 마을마당,37.594241,126.919557
응암9어린이공원,37.59418,126.92555
참다래공원,37.59418,126.92555
새락골 어린이공원,37.59547,126.90718
신흥공원,37.59547,126.90718
예일여자고등학교 운동장,37.6101143,126.9106275
선정고등학교 운동장,37.6180486,126.9130717
분토골 공원,37.58234,126.90612
증산중학교 운동장,37.58346098,126.9040972
금암문화공원(은평뉴타운 제1호 문화공원),37.6388394,126.9294619
기자촌 근린 공원,37.63533571,126.9348784
증산중학교 다목적강당,37.539619,127.009676
당곡고등학교 운동장,37.4896784,126.9342441
신봉초등학교 운동장,37.539619,127.009676
동화동주민센터(지하강당),37.55920029,127.019503
청학1리 마을회관,37.716491,127.192534
별내초등학교,37.711207,127.118295
"호평23,26통 경로당",37.654731,127.244585
호평2통 경로당,37.656481,127.245415
남양주체육문화센터,37.605492,127.176747
고양관산초등학교 운동장,37.69202178,126.8663878
독립문어린이공원,37.5708668,126.9596744
북성초등학교 운동장,37.558964,126.951433
신촌역 동측광장 공영주차장,37.56058,126.94496
가재울어린이공원,37.5709804,126.9178137
나비울어린이공원,37.57953,126.91156
중앙근린공원,37.57953,126.91156
방교초등학교,37.17305058,127.101435
새말어린이공원놀이터,37.48472,126.99083
가좌근린공원,37.48863068,126.6812536
영도중학교 강당,37.536414,126.867215
영도초등학교 강당,37.53568,126.870669
목5동주민센터 강당,37.5204641,126.8685485
신월보건지소(강당),37.5059323,126.8444927
신월5동주민센터(강당),37.5377385,126.8280182
신월6동주민센터(강당),37.5059323,126.8444927
남명초등학교 본관동,37.5162122,126.8538264
신정3동현장민원실(강당),37.5119967,126.8409378
양천구청 대강당,37.516887,126.866499
양천구민체육센터,37.516159,126.864545
양천해누리타운,37.51584,126.864101
갈산초등학교 체육관,37.5457172,126.870065
양천어르신종합복지관(강당),37.5117932,126.8632717
경기대학교 운동장,37.2993838,127.0491242
