캠퍼스,주소,비고
서울시 50+ 서부캠퍼스,서울시 은평구 통일로 684(녹번동),준공예정
서울시 50+ 중부캠퍼스,서울시 마포구 백범로 31길 21(공덕동),
서울시 50+ 동부캠퍼스,서울시 광진구 자양동 57-117,준공예정
서울시50플러스 남부캠퍼스 : 캠퍼스,서울시 구로구 오류로 36-25,
노원50플러스센터 : 센터,서울시 노원구 노원로30길 73 (상계2동 181-14),
도심권50플러스센터 : 센터,서울시 종로구 수표로26길 28 동의빌딩,
동작50플러스센터 : 센터,서울시 동작구 노량진로 140 메가스터디타워 2층(노량진동 57-1),준공예정
성북50플러스 센터 : 센터,서울시 성북구 지봉로 24길 26 (보문동 5가 35번지) 3-4층,
광진 50플러스상담센터 : 센터,서울시 광진구 자양로 117 (광진구청 민원복지동2층),
서대문50플러스 센터 : 센터,서울시 서대문구 통일로 484 (홍은동 48-84) 유진상가 2층,
영등포50플러스센터 : 센터,서울시 영등포구 여의대방로 372(여의도동 56-1) 여의도복지관 3층,
서울시 50+ 북부캠퍼스,서울시 도봉구 창동 1-8,준공예정
서울시 50+ 남부캠퍼스,서울시 구로구 오류동 156-193외 2,
서울시 50+ 동남캠퍼스,서울시 강남구 테헤란로7길 22(역삼동),준공예정
