도서관 일련번호,도서관명,구 코드,구명,주소,전화번호,팩스번호,홈페이지 URL,운영시간,정기 휴관일,도서관 구분,도서관 구분명,위도,경도,담당자이메일,도서관 소개,설립연도,회원가입요건,대출안내,교통편,층별 설명
1935,강남구립못골도서관,0008,강남구,서울시 강남구 자곡로 116,02-459-5522,,http://mglib.gangnam.go.kr,,"매월 둘째, 넷째 화요일 및 일요일을 제외한 법정공휴일",0001,공공도서관,37.47153836,127.096582,,,,,,,
1066,강남역삼푸른솔도서관,0008,강남구,서울특별시 강남구 테헤란로8길 36. 4층,02-2051-1178,02-2051-1178,http://ysplib.gangnam.go.kr/,,"2,4 주 화요일 및 법정 공휴일",0001,공공도서관,37.4964968,127.0320274,jsh43073@naver.com,,20090612," 서울시민, 서울소재 학교 재학생, 서울 소재 직장 재직자 

","2권 이내

기본 14일, 연기 7일[연기는 반납예정일 1주일전 부터 가능, 예약자가 있으면 연기가 안됨] 

","2호선 강남역 1번출구에서 역삼역 방향으로 직진. 

국기원 사거리에서 역삼초등학교 방향으로 우회전.

150m 직진 스타벅스 옆 강남문화원 건물 4층.",
52,정다운도서관,0008,강남구,서울특별시 강남구 학동로67길 11 3층정다운도서관,02-512-9326,팩스없음,http://jdwlib.gangnam.go.kr/,,매월 둘째 넷째 화요일 및 법정공휴일,0001,공공도서관,37.51909941,127.0464411,,"<p>

	① 분리된 넓은 어린이실, 다양한 장서 ② 주 1회 책 읽어 주는 시간 운영</p>

",20041001," 서울시민, 서울소재 학교 재학생, 관내 소재 직장 재직자 ","2권 이내  

기본 14일, 연기 7일

","- 대중 교통편 자세히

  <전철 이용시>

   7호선 강남구청역 4번출구/청담역 8번 출구



 <버스 이용시>

  강남세무서정류장, 강남구청정류장

  -지선 : 3219, 3414, 4412번

  -간선 : 301, 401, 640번","- 3층 : 자료실, 열람실"
48,논현도서관,0008,강남구,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,02-3443-7650,02-542-6459,http://nhlib.gangnam.go.kr/,,"매월 2,4주 화요일",0001,공공도서관,37.51727790929765,127.03718791359726,,"<p>

	- 도서관에 관한 간략한 소개(도서관의 특징, 자랑거리 등) ① 엄마와 아이가 함께 책을 읽을 수 있는 분리된 공간 ② 매주 책 읽어주는 시간 운영</p>

",19970910,"서울시에 거주하는 시민, 타 시도 거주자 중 서울 소재의 직장이나 학교에 다니고 있는 자","2권 이내 기본 14일, 연기 7일","&lt;전철 이용시&gt;

-역삼역에서 올 때 : 차병원사거리 → 논현사거리(가구백화점) → 관세청사거리 → 건설회관 맞은편 → ABC볼링장 → 내리막길 150m →7ELEVEN편의점 → 좌측골목20m

-압구정역에서 올 때 : 늘봄공원 하차 → 동현(아) → 한성시장(아) → 동양슈퍼 맞은편에 위치

-강남구청역에서 올 때 : 3번출구 → 대로변(관세청사거리쪽)으로 직진 → 한미은행 → 영신목공소 → 7ELEVEN편의점 → 좌측20m

-학동역에서 올 때 : 10번출구 → 관세청사거리쪽으로 직진 → 사거리건너 티파니(금은방) → 한미은행 → 영신목공소 → 7ELEVEN편의점 → 좌측20m





&lt;버스 이용시&gt;

-관세청사거리 경유 :401, 640, 2225, 3414, 4412번

-선릉역 : 361, 472, 4312, 4411 승차  구청사거리 지나서 하차 → 맞은 편 길건너 인선약국 → 석쇠한판→ 향나무집 → 7ELEVEN편의점 → 우측골목으로 20m

-신사역에서 올 때 : 건설회관 하차 → 맞은편 ABC볼링장 → 내리막길 150m →7ELEVEN편의점 → 좌측20m","- 6층 : 자료실, 열람실"
49,대치도서관,0008,강남구,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,02-565-6666,02-554-6666,http://dchlib.gangnam.go.kr/,,"매월 2,4주 화요일 및 법정공휴일",0001,공공도서관,37.49879449,127.066997,letter310@hanmail.net,"<p>

	- 도서관에 관한 간략한 소개(도서관의 특징, 자랑거리 등) ① 아파트 단지 내에 위치 용이한 접근성 ② 주민과 어린이를 위한 다양한 문화교양 강좌 ③ 매월 1회 이상의 독서 문화 특강</p>

",19990226,"서울시민, 서울시 직장인, 서울시 학교 재학생","2권 이내 ; 기본 14일, 연기 7일","- 대중 교통편 자세히

  1) 지하철 : 3호선 대치역 4번 출구

  2) 버  스 : 143, 420, 461, 4312, 4412, 2413, 2415",- 2층 : 자료실 및 열람실
1402,도곡정보문화도서관,0008,강남구,서울시특별시 강남구 도곡로18길 57,02-2176-0783~8,,http://dogoklib.gangnam.go.kr/,,"첫째주,셋째주 월요일 및 법정공휴일",0001,공공도서관,37.4883101,127.0388803,,,,,,,
2133,못골한옥어린이도서관,0008,강남구,서울특별시 강남구 영동대로 65길 24 대치2동주민센터3층,02-567-3833,,http://happylib.gangnam.go.kr/,,"매월 첫째/셋째 월요일, 법정공휴일(일요일제외)",0001,공공도서관,37.50230515,127.0641886,,,,,,,
21,서울특별시교육청강남도서관,0008,강남구,서울특별시 강남구 선릉로116길 45,02-3448-4741~5,관리과 : 02-517-9194 자료봉사과 : 02-3443-4713,http://gnlib.sen.go.kr,,"1,3주 수요일 및 법정공휴일",0001,공공도서관,37.51368143,127.0468374,,"<p>

	- 1982년 3월 개관 이래 각 분야의 정보 및 지식의 제공과 다양한 문화 프로그램 개발을 통해 지역주민의 지적수준 향상에 이바지하고 있으며, 강남구 정보문화센터의 중심 역할을 하고 있음 - 어린이 및 청소년을 대상으로 독서 토론 논술 등의 교육을 통한 도서관 서비스를 제공하고 있음 - 지역 평생교육 기관과의 유대 강화를 통해 지역주민을 위한 평생교육활성화에 견인차 역할을 하고 있음</p>

",19820323,"- 가입대상 : 서울시민, 서울소재 대학생 및 직장인(재학 증명서 및 재직증명서) 

- 가입방법 : 홈페이지에서 회원가입 후 현 거주지를 확인할 수 있는 신분증(주민등록증, 주민등록등본)지참 후 도서관 방문","- 도서 : 7책/14일

- DVD : 4점/7일","1) 지하철 7호선

7호선 강남구청역 1번출구 → 선릉역 방향으로 도보 7분 → 

강남도서관표지판이 있는 골목으로 300m 들어옴.



2) 지하철 2호선

2호선 선릉역 8번출구 → 버스 472, 3219, 4312 승차 → 주택공사에서 하차 →

차로 온 뒷방향으로 100m 지점에 강남도서관표지판이 있는 골목으로 300m 들어옴.



3) 버스

정류장1 (주택공사 앞 하차) : 472, 361, 3219, 4312

정류장2 (라마다서울호텔(강남교육청) 앞 하차 : 361, 3412, 4428","- 4층 : 종합자료실(36석), 문화교실(45석)

 - 3층 : 디지털자료실(45석), 서고, 자료봉사과사무실

 - 2층 : 관장실, 관리과사무실, 열람실(108석)

 - 1층 : 어린이실(52석), 장애인실(2석), 순회문고서고

 - 지하1층 : 책사랑 쉼터"
22,서울특별시교육청개포도서관,0008,강남구,서울특별시 강남구 선릉로4길 30,02-3460-8200,,http://gplib.sen.go.kr,,"2,4주 목요일 및 법정공휴일",0001,공공도서관,37.48308019,127.063867,,"<p>

	평생교육 활성화 기반 조성 및 평생학습 인프라 구축</p>

",19840328,"- 가입대상 : 서울시민

- 가입방법(구비서류)

   : 성인 (주민등록증 또는 운전면허증 / 사진 1매 / 신청서 1장)

     아동 (주민등록등본 / 신청서 1장)","- 대출책수 : 1인당 3권

- 기간 : 14일간(7일 1회 연장가능)","교통편

- 버스로 오실 경우

 도서관앞 하차 : 143번, 420번, 3219번, 5번(마을버스)

 주공1단지앞 하차(도보300m) : 472번, 4426번, 4511번, 405번

 경기여고앞 하차(도보 500m) : 4411번, 4412번, 461번, 4203번

- 지하철로 오실 경우

지하철 3호선 대치역(7번출구) : 420번, 461번, 143번, 4411번, 4412번/도곡역(4번 출구);472번,                                4411번 / 수서역(1번 출구); 4412번, 3219번

지하철 2호선 삼성역 3번 출구 : 143번 / 강남역(6번 출구) ; 420번

지하철 분당선 개포동역 7번 출구(도보 10분) : 420번, 461번, 4411번, 3219번","- 지하1층 : 휴게실, 기계실

- 1층 : 안내실, 문헌정보실, 어린이실(유아실), 시청각실, 사무실

- 2층 : 디지털실(연속간행물실), 강의실, 제1학습실, 제2학습실"
81,역삼도서관,0008,강남구,서울특별시 강남구 역삼로7길 16,02-508-1139,02-508-1139,http://yslib.gangnam.go.kr/,,"1,3번째 월요일 및 법정 공휴일",0001,공공도서관,37.49537399,127.0332844,,"강남구립도서관 이용자헌장<p>

우리 강남구립도서관 전직원은 도서관인이라는 사명감을 바탕으로<p>

봉사정신과 전문성을 갖추고 각종 정보자료를 최적의 상태로 수집, 관리하여<p>

이용자의 신뢰를 받는 도서관이 될 수 있도록 다음과 같이 실천하겠습니다.",20070109," 서울시민, 서울소재 학교 재학생, 서울 소재 직장 재직자 ","2권 이내

기본 14일, 연기 7일

","- 지하철 : 강남역 1번 출구 나오셔서 역삼역 방향으로 200m 직진, 

            국기원 사거리(우리은행)에서 우회전 후 400m 직진, 

            스칼리티움을 지나 2번째 건물 역삼1동 주민센터 5층 



- 버  스 : 363번 역삼초교 하차","5층 : 열람실, 디지털자료실, 자료실"
51,즐거운도서관,0008,강남구,서울특별시 강남구 도곡로77길 23,02-565-7533,563-7383,http://library.gangnam.go.kr,,"첫번째, 세번째 월요일",0001,공공도서관,37.49973075,127.0578497,,"<p>

	- 도서관에 관한 간략한 소개(도서관의 특징, 자랑거리 등)</p>

<p>

	① 분리된 넓고 쾌적한 어린이실, 다양한 장서 보유</p>

<p>

	② 주 1회 책 읽어 주는 시간 운영</p>

<p>

	③ 주택가 중심에 위치 편리한 접근성</p>

",20040901,"서울시민, 서울소재 학교 재학생, 서울 소재 직장 재직자","2권 이내 : 기본 14일, 연기 7일","- 대중 교통편 자세히

  (전철 이용시)

   분당선 한티역 2번 출구 도보 10분","4층 : 자료실, 열람실"
47,청담도서관,0008,강남구,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,02-540-7042,,http://cdlib.gangnam.go.kr/,,"매월 첫재, 셋째 월요일 및 일요일을 제외한 법정공휴일",0001,공공도서관,37.52509298,127.0492914,,"강남구립도서관 이용자헌장<p>

우리 강남구립도서관 전직원은 도서관인이라는 사명감을 바탕으로<p>

봉사정신과 전문성을 갖추고 각종 정보자료를 최적의 상태로 수집, 관리하여<p>

이용자의 신뢰를 받는 도서관이 될 수 있도록 다음과 같이 실천하겠습니다.",19991011," 서울시민, 서울 소재 직장 재직자, 서울 소재 학교 재학생 ","2권 이내  기본 14일, 연기 7일

","- 대중 교통편 자세히

  지하철: 7호선 청담역 하차 ⑨번출구 압구정동 방향으로 도보 10분 소요","7층 : 자료실, 열람실"
53,행복한도서관,0008,강남구,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),02-567-3833,02-565-3834,http://happylib.gangnam.go.kr/,,"2,4주 화요일과 일요일을 제외한 법정공휴일",0001,공공도서관,37.50230515,127.0641886,pjy3764@naver.com,"<p>

	대치2문화센터 3층에 위치한 강남구립 도서관입니다.</p>

",20060916," 서울시 거주자 및 서울 소재 학교, 서울 소재 직장인                   ","2권 이내 

기본 14일, 연기 7일","행복한도서관은 대치2주민센터 3층에 위치하고 있습니다. 



- 지하철 이용 시 

  ①2호선 삼성역 3번 출구로 나와서 마을버스 01번, 마을버스 06번 한 정거장 후 하차(씨푸드오션, 우래옥 앞 하차)   

  ② 3호선 학여울역 1번 출구로 마을버스 06번, 마을버스 01번 한정거장 후 하차 

    (한국토지주택공사 앞), 길건너 동광교회쪽



- 버스 이용 시

  4318번(휘문고 하차), 4419번, 4319번, 401번(총회회관, 휘문고입구 하차)","대치2문화센터 3층 : 자료실, 열람실, 어린이자료실"
105,강동구립강일도서관,0010,강동구,서울특별시 강동구 아리수로 93길 9-14,02-427-7676,02-427-0588,http://www.gdlibrary.or.kr,,매주 화요일 및 법정 공휴일,0001,공공도서관,37.56504077,127.1739073,,"<p>

	21세기 지식정보시대를 맞이하여, 강동구는 지역주민들이 좀 더 편리하게 정보문화를 향유할 수 있도록, 4개 권역별로 구립도서관 건립사업을 추진하고 있습니다. 그 일환으로, 강일도서관이 세 번째로 개관되었습니다. 강일도서관은 지역주민에게 이용자 중심의 정보서비스, 다양한 문화체험과 평생교육의 기회를 제공하기 위해 내실을 다지는 한편 유비쿼터스 환경에 맞추어 미래형도서관으로 나아가고자 합니다. 또한 지식정보 소외계층을 배려하고 지역주민과 함께 소통하여, 지역 정보문화 커뮤니티의 구심체 역할을 하는 도서관 상을 정립시키고자 합니다. 인터넷 혁명을 주도했던 빌 게이츠는 &quot;오늘의 나를 있게 한 것은 동네에 있던 공공도서관이었다&quot;고 말한 바 있습니다. 이 말 속에 도서관이 갖는 의미와 중요성이 함축되어 있다고 생각합니다. 이러한 도서관의 위상에 걸맞도록 아름답고 유익한 도서관, 보다 선진화된 서비스가 있는 강일도서관으로 발전시키고자 합니다.</p>

",20091016," 서울시 거주자 및 서울시 학교 재학생, 직장 재직자 ","6권 이내

기본 14일, 연기 7일

","-지하철 이용시: 5호선 상일동역 하차, 02번 05번 마을버스 강동공영차고지역 앞

-버스노선: 300,340,361,370,3412,8361,3213,3212,3219 버스 강동공영차고지 앞 또는 강일동주민센터 앞 정차",
63,강동구립성내도서관,0010,강동구,서울특별시 강동구 성안로 106-1,02-471-1071,02-471-1072,http://www.gdlibrary.or.kr,,매주 월요일 및 법정 공휴일,0001,공공도서관,37.53283244,127.1333354,,"<p>

	성내도서관은 강동구의 중점사업인 생활밀착형 &lsquo;작은 도서관&rsquo; 건립사업의 첫 성과물로, 주민들이 쉽게 접근하여 독서 및 문화를 자유롭게 향유할 수 있는 지역의 커뮤니티 공간이자 주민간의 결속력을 강화시키는 구심체로서 자리매김해 나가고 있음</p>

",20070410,""" 서울시민, 서울 소재 각급학교 재학생, 

서울 소재 직장 재직자 ""","6권 이내

기본 14일, 연기 7일

","- 지하철이용시 : 5호선강동역 3번출구 -> 강동웨딩문화센터에서 우회전후 약 150m 직진

- 버스이용시 : 지선버스(녹색)3212 승차->동주병원앞 하자->도보2분

- 주차안내 : 일반차량 5대, 장애우차량 1대 주차가능(무료주차)","- 지하1층 : 다목적홀

  - 1층 : 어린이·유아 열람실

  - 2층 : 종합자료실

  - 3층 : 디지털자료실

  - 4층 : 사무실, 문화교실1,2"
1067,강동구립암사도서관,0010,강동구,서울특별시 고덕로 20길 42 (암사동 471-37),02-429-0476,02-429-0471,http://www.gdlibrary.or.kr,,매주 월요일 및 법정 공휴일,0001,공공도서관,37.55283455,127.1333221,shine21c213@igd.or.kr,,20100423, 서울시민 누구나 ,"6권 이내

기본 14일, 연기 7일

","암사역(http://www.smrt.co.kr)

 8호선 암사역 1번출구 

암사1동 주민센터 방면 도보 10분

340, 3411번 양지시장 하차, 

GS선사주유소 방면 도보 5분",
1971,강동구립천호도서관,0010,강동구,서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층),02-488-7223,,http://www.gdlibrary.or.kr,,매주 월요일 및 법정 공휴일,0001,공공도서관,37.54052333,127.1340816,,,,,,,
96,강동구립해공도서관,0010,강동구,서울특별시 강동구 올림픽로 702,02-478-9656,02-478-9658,http://www.gdlibrary.or.kr,,매주 화요일 및 법정 공휴일,0001,공공도서관,37.54394314,127.1255359,,"<p>

	강동구립 해공도서관은 지역 주민들이 가까이서 편리하게 이용 할 수 있는 도서관으로 지식향상에 기여하고 지역 문화의 중심적 역할을 수행하고자 합니다.</p>

",20080626," 서울시 거주자, 서울 소재 학생, 서울소재 직장 재직자 ","6권 이내

기본 14일, 연기 7일

","◎ 교통편안내 

   - 지하철 : 5·8호선 천호역 3번출구에서 버스환승

   - 버스노선 : 파랑(간선) 340번, 초록(지선) 3411번","-지하1층    다목적홀     문화교실     보존서고 

-1층        유아자료실   어린이자료실 수유실

-2층        종합자료실   문화교실     도서정리실

-3층        디지털자료실 일반열람실   사무실"
78,명성교회도서관,0010,강동구,서울특별시 강동구 상암로51길 8,02-440-9140,,http://www.mslib.or.kr,,매주 월요일,0001,공공도서관,37.54691053,127.1462765,,"<p>

	1995 년 부터 도서관이 세워진 이래로 본 도서관은 성도들 뿐 아니라 지역 주민을 섬기기 위하여 수많은 발전과 성장을 거듭해왔습니다. 현재 7만권의 장서를 보유 하고 신학도서, 기독교 관련 논문, 신앙도서, 정기간행물, 일반도서, 어린이도서, 시청각 자료등 다양한 국내외 자료들을 준비해 놓고 있습니다. 특별히 이번에 새로 건립된 도서관은 최고의 시설로 단장되어 국내 최고의 사설도서관으로 부족함이 없음을 자부합니다. 이제 최신식 시설들을 완비 하고 멀티미디어 자료와 각종 시청각 자료 뿐 아니라 최근 자료들까지 완비하고 명실상부한 최고의 도서관으로 여러분들을 맞이하게 될 것입니다. 명성교회 도서관은 명성교회 뿐 아니라 지역 주민을 위한 공간 입니다. 여러분들이 세상의 모든 지혜와 사랑, 정보와 지식을 마음껏 공유 하며 건전하고 아름다운 문화의 주인공으로 세워지기를 바랍니다.</p>

",19950101,"+ 평생회원비 10,000원  

 + 주민등록증 지참(어린이는 의료보험증) 

 + 도서관 회원가입신청서","+ 대출기간 및 권수 : 1인 2책 1주일 

+ 연기신청 : 1회 연기(전화/인터넷가능) 

+ 연체료 : 1일 1책당 50원 누적 



관내열람 - 본교인, 지역주민, 타교인을 포함한 모든 교인

관외대출 - 평생회원 가입자  

전자정보실 - 중학생이상의 모든 사람

자유열람실 - 중학생이상의 모든 사람","교통편 이용 

    + 지하철 5호선 [굽은다리역] 하차 - 3번 출구로 나와서 400M 도보

+ 버스

성남, 분당에서 명일여고 앞 하차  시외 30-1, 30  

잠실, 성내역에서 명일여고 앞 하차  일반 3411, 3413  

동서울 터미널(강변역)에서 명일여고 앞 하차  13, 15-3, 1 (마을버스 고덕지구)  

  

수서에서 명일여고 앞 하차 16 

  

하남에서 명일여고 앞 하차  15-3, 13, 15, 30-1  

 

   승용차 이용 

    + 천호대교 → 길동사거리에서 좌회전 → 굽은다리역 사거리에서 우회전 → 100M 직진 → 신한은행 앞 신호등에서 좌회전 후 5m 직진","5 층 - 62.8㎡   기증열람실   

4 층 - 75.2㎡   일반열람실   

3 층 - 87.5㎡   기독교열람실 ※ 학위논문  

2층 - 91.4㎡   어린이열람실 ※ 모자열람실  

1층 - 96.9㎡   전자정보실(인터넷,멀티미디어,컴퓨터),도서관사무실  

지하1층 - 119.6㎡   자유열람실(178석)  

자하2층 - 112.9㎡   소극장(142석), 영상음향실, 전기실, 기계실"
24,서울특별시교육청강동도서관,0010,강동구,서울특별시 강동구 양재대로116길 57,02-2225-9800,02-472-0522,http://gdlib.sen.go.kr,,"1,3주 목요일 및 법정공휴일",0001,공공도서관,37.53815107,127.1434874,,"-도서관에 관한 간략한 소개(도서관의 특징, 자랑거리 등) 



강동도서관은 강동구 최초의 공공도서관으로서 1984년 개관 이래 20여 년 동안 지식 및 정보를 제공하고 다양한 교육, 문화향유프로그램을 통해 지역주민을 위한 중추적인 문화, 교육 공간으로 역할을 담당하고 있습니다. 



또한 e-Book, e-Learning 등 시공간의 제약 없이 다양한 디지털 정보자원을 편리하게 이용할 수 있도록 21세기 지식 정보시대를 선도하는 공공도서관으로서 기능을 다하고자 노력하고 있습니다. 



강동도서관은 고객의 입장에서 생각하고 고객의 의견을 적극 수용하는 열린 행정을 통해 무한한 지식과 흥미의 공간으로서 그 역할을 다하고자 최선을 다하겠습니다.





",19840425,"- 가입대상 : 현재 주민등록상 서울시 거주자



- 가입방법(구비서류) : 신분증(주민등록증, 운전면허증, 주민등록등본), 관외대출신청서","1인당 4권, 14일간 (단, 1회에 한하여 7일간 연기 가능)","- 지하철 : 5호선(상일동행) 길동역 2번 출구

- 버  스 : 130(파랑/간선), 3413(초록/간선) 5호선 길동역

             3311(초록/지선) 길동우성아파트

             강동 01(초록/지선) 은평교회앞","- 정문 입구 : 주차부스



- 1층 : 안내실, 문헌정보실, 전시실



- 2층 : 어린이실, 유아실, 디지털실, 관장실, 행정지원과



- 3층 : 제1자율학습실, 제2자율학습실, 세미나실, 정보자료과



- 4층 : 제1문화교실, 제2문화교실, 음향영상실, 휴게실

"
25,서울특별시교육청고덕평생학습관,0010,강동구,서울특별시 강동구 고덕동길 295 (고덕2동  296),02-6902-2600,,http://gdllc.sen.go.kr,,"2,4주 월요일 및 법정공휴일",0001,공공도서관,37.55930391,127.1579066,,"<p>

	우리도서관 소개 우리학습관은 1984년 고덕도서관으로 개관한 이래 지역주민의 정보욕구 와 독서생활화에 기여하고자 노력하여 왔습니다. 이제 세계화,정보화 시대를 대비하여 서울시 교육청조례 제3561호 에 근거하여 1999. 7. 16일자로 고덕평생학습관으로 거듭나게 되었습니 다. 열린학습관으로 지역주민의 삶의 질을 높이고 여러분의 생활속에 자리매 김할 수 있도록 더욱 노력하여 지역평생학습센타로서의 역할을 다하고자 합니다.</p>

",19840830,"- 가입대상 : 주민등록상 서울시 거주자 및 서울 소재 직장인, 재학생

- 가입방법(구비서류) : 주민등록번호와 현주소를 확인할 수 있는 신분증","3권, 2주 / 1회(7일) 반납연기 가능(당일연기 불가)",- 대중 교통편,"- 지하1층 : 매점

- 1층 : 안내실, 평생교육1실, 종합자료실, 간행물실, 디지털자료실, 어린            이실, 사무실

- 2층 : 평생교육2실, 일반열람실, 시청각실, 휴게실"
